sku,name,brand,price,quantity,category,supplier,image,description,warranty_months
PR-HP-080,HP OfficeJet Pro 9010,HP,24999,8,Printer,PrintWorks Pvt Ltd,,All-in-one office printer with scanning and copying.,12
PR-CA-081,Canon PIXMA G5020,Canon,18999,12,Printer,CameraKing Distributors,,Ink tank all-in-one printer for home and office.,12
SP-JB-082,JBL Pulse 5,JBL,12999,15,Speaker,AudioMax Distributors,,Portable speaker with 360-degree sound and lights.,12
SP-BO-083,Bose Soundbar 500,Bose,44999,6,Speaker,AudioMax Distributors,,Compact soundbar with deep bass and smart assistant.,12
GC-NT-084,Nintendo Switch OLED V2,Nintendo,44999,14,Gaming Console,GameZone Distributors,,OLED version with better display and battery.,24
EB-AP-085,Apple AirPods 2,Apple,14999,28,Earbuds,SmartLife Traders,,Wireless earbuds with good sound quality and portability.,12
EB-SA-086,Samsung Galaxy Buds Live,Samsung,11999,22,Earbuds,SoundPro Solutions,,True wireless earbuds with unique bean shape design.,12
SM-OP-087,OnePlus 10,OnePlus,59999,16,Smartphone,TechWorld Pvt Ltd,,Flagship phone with fast charging and AMOLED screen.,24
TB-AP-088,Apple iPad Pro 12.9,Apple,119999,4,Tablet,Elite Tech Supplies,,Large-screen tablet with M2 chip and ProMotion display.,24
LP-LE-089,Lenovo IdeaPad 5,Lenovo,49999,12,Laptop,DigiHub Electronics,,Everyday laptop with Intel i5 and solid performance.,36
LP-AS-090,Asus VivoBook 15,Asus,45999,14,Laptop,GameZone Distributors,,Affordable laptop for students and professionals.,36
LP-SA-091,Samsung Galaxy Book Flex,Samsung,104999,5,Laptop,Elite Tech Supplies,,Convertible laptop with AMOLED display and S Pen.,36
LP-HP-092,HP Omen 16,HP,124999,6,Laptop,Elite Tech Supplies,,Gaming laptop with high refresh rate display and RTX GPU.,36
SM-AP-093,iPhone SE 2022,Apple,39999,25,Smartphone,TechWorld Pvt Ltd,,Compact and affordable Apple smartphone with A15 chip.,24
SM-SA-094,Galaxy A53,Samsung,29999,20,Smartphone,MobileMart Pvt Ltd,,Mid-range Samsung smartphone with AMOLED display.,24
SP-BO-095,Bose Portable Home Speaker,Bose,24999,8,Speaker,AudioMax Distributors,,Smart portable speaker with Alexa built-in.,12
SP-JB-096,JBL Boombox 3,JBL,29999,5,Speaker,AudioMax Distributors,,Large portable speaker with deep bass and waterproof design.,12
CAM-CA-097,Canon EOS R6,Canon,219999,3,Camera,CameraKing Distributors,,Full-frame mirrorless camera with fast autofocus.,24
CAM-NI-098,Nikon Z6 II,Nikon,189999,2,Camera,CameraKing Distributors,,Full-frame mirrorless camera with 24MP sensor.,24
CAM-FU-099,Fujifilm X-H2,Fujifilm,154999,4,Camera,CameraKing Distributors,,High-resolution mirrorless camera with 40MP sensor.,24
TB-SA-100,Samsung Galaxy Tab S6 Lite,Samsung,24999,15,Tablet,TechWorld Pvt Ltd,,Affordable tablet with S Pen for productivity and learning.,24
SM-AP-101,iPhone 13,Apple,69999,25,Smartphone,TechWorld Pvt Ltd,,Apple's previous-gen smartphone with A15 Bionic chip and excellent camera.,24
SM-SA-102,Galaxy S21,Samsung,64999,18,Smartphone,MobileMart Pvt Ltd,,High-performance Samsung smartphone with AMOLED display.,24
SM-OP-103,OnePlus 9,OnePlus,49999,20,Smartphone,TechWorld Pvt Ltd,,Flagship OnePlus phone with Snapdragon processor.,24
LP-DE-104,Dell XPS 15,Dell,119999,6,Laptop,DigiHub Electronics,,High-end Windows laptop with Intel i7 and dedicated GPU.,36
LP-HP-105,HP Spectre x360 14,HP,109999,5,Laptop,Elite Tech Supplies,,Convertible laptop with premium design and Intel i7 processor.,36
LP-AS-106,Asus ZenBook 14,Asus,84999,10,Laptop,GameZone Distributors,,Slim laptop with fast SSD and Intel i5 processor.,36
LP-LE-107,Lenovo ThinkBook 15,Lenovo,64999,12,Laptop,DigiHub Electronics,,Business laptop with Intel i5 processor and reliable performance.,36
HP-SO-108,Sony WH-CH710N,Sony,11999,25,Headphones,SoundPro Solutions,,Noise-cancelling wireless headphones with long battery life.,12
HP-BO-109,Bose QuietComfort 35 II,Bose,19999,20,Headphones,AudioMax Distributors,,Wireless noise-cancelling headphones with great comfort.,12
EB-AP-110,Apple AirPods 1,Apple,12999,30,Earbuds,SmartLife Traders,,Original Apple AirPods with reliable wireless performance.,12
EB-SA-111,Samsung Galaxy Buds 1,Samsung,8999,25,Earbuds,SoundPro Solutions,,True wireless earbuds with good sound quality.,12
MS-LO-112,Logitech MX Anywhere 3,Logitech,6999,40,Mouse,Peripheral Pros,,Compact wireless mouse for productivity.,12
MS-RA-113,Razer Basilisk V3,Razer,7999,35,Mouse,Peripheral Pros,,Gaming mouse with high precision and customizable buttons.,12
TV-LG-114,"LG 48"" OLED TV",LG,139999,4,TV,VisionTech Supplies,,4K OLED TV with HDR and Dolby Vision.,36
TV-SA-115,"Samsung 43"" QLED TV",Samsung,99999,6,TV,Visionary Electronics,,43-inch QLED smart TV with vivid display.,36
TV-SO-116,"Sony Bravia 50""",Sony,119999,5,TV,VisionTech Supplies,,50-inch 4K UHD TV with smart features.,36
PR-HP-117,HP DeskJet 3755,HP,6999,18,Printer,PrintWorks Pvt Ltd,,Compact all-in-one printer for home use.,24
PR-CA-118,Canon PIXMA MG3620,Canon,5999,20,Printer,CameraKing Distributors,,Entry-level all-in-one printer for home and office.,24
TB-SA-119,Samsung Galaxy Tab A7,Samsung,14999,15,Tablet,TechWorld Pvt Ltd,,Affordable tablet with large screen for media consumption.,24
TB-AP-120,iPad 9th Gen,Apple,32999,10,Tablet,Elite Tech Supplies,,Apple's budget-friendly iPad with Retina display and iPadOS.,24
GC-NT-121,Nintendo Switch Lite Blue,Nintendo,18999,25,Gaming Console,GameZone Distributors,,Compact handheld gaming console for fun on the go.,12
LP-LE-122,Lenovo Legion 7,Lenovo,139999,6,Laptop,DigiHub Electronics,,High-end gaming laptop with powerful GPU and Ryzen processor.,36
LP-AS-123,Asus ROG Flow X13,Asus,149999,4,Laptop,GameZone Distributors,,Ultra-portable gaming laptop with Ryzen CPU and GTX GPU.,36
LP-HP-124,HP Omen 15,HP,119999,7,Laptop,Elite Tech Supplies,,Gaming laptop with RTX GPU and fast refresh display.,36
LP-SA-125,Samsung Galaxy Book Odyssey,Samsung,124999,5,Laptop,Elite Tech Supplies,,High-performance laptop for gaming and productivity.,36
SM-AP-126,iPhone 12,Apple,59999,30,Smartphone,TechWorld Pvt Ltd,,Apple smartphone with A14 Bionic chip and dual camera system.,24
SM-SA-127,Galaxy Note 20,Samsung,74999,12,Smartphone,MobileMart Pvt Ltd,,Samsung phablet with S Pen and large display.,24
SP-BO-128,Bose SoundLink Mini II,Bose,12999,15,Speaker,AudioMax Distributors,,Portable Bluetooth speaker with excellent sound quality.,12
SP-JB-129,JBL Clip 4,JBL,3999,20,Speaker,AudioMax Distributors,,Small portable speaker with waterproof design.,12
CAM-CA-130,Canon EOS 250D,Canon,59999,10,Camera,CameraKing Distributors,,DSLR camera for beginners with good image quality.,24
CAM-NI-131,Nikon D3500,Nikon,54999,8,Camera,CameraKing Distributors,,Entry-level DSLR with easy-to-use features.,24
CAM-FU-132,Fujifilm X-T200,Fujifilm,59999,5,Camera,CameraKing Distributors,,Mirrorless camera with 24MP sensor and 4K video recording.,24
TB-AP-133,iPad Mini 5,Apple,24999,15,Tablet,Elite Tech Supplies,,Compact iPad with portability and productivity features.,24
TB-SA-134,Samsung Galaxy Tab S5e,Samsung,21999,12,Tablet,TechWorld Pvt Ltd,,Slim and light Android tablet with vibrant display.,24
EB-AP-135,Apple AirPods Pro,Apple,19999,28,Earbuds,SmartLife Traders,,Wireless earbuds with noise cancellation and spatial audio.,12
EB-SA-136,Samsung Galaxy Buds+,Samsung,9999,22,Earbuds,SoundPro Solutions,,Wireless earbuds with clear sound and long battery life.,12
GC-NT-137,Nintendo Switch Animal Crossing Edition,Nintendo,44999,10,Gaming Console,GameZone Distributors,,Special edition Nintendo Switch with Animal Crossing design.,12
MS-LO-138,Logitech G703 Lightspeed,Logitech,7999,35,Mouse,Peripheral Pros,,Wireless gaming mouse with high accuracy.,12
MS-RA-139,Razer DeathAdder Elite,Razer,6999,30,Mouse,Peripheral Pros,,Classic gaming mouse with ergonomic design.,12
TV-LG-140,"LG 42\"" OLED TV",LG,129999,5,TV,VisionTech Supplies,,42-inch OLED smart TV with HDR and Dolby Vision.,36
TV-SA-141,"Samsung 40\"" QLED TV",Samsung,84999,6,TV,Visionary Electronics,,Smart TV with QLED display and clear colors.,36
TV-SO-142,"Sony Bravia 55\""",Sony,149999,3,TV,VisionTech Supplies,,55-inch 4K UHD smart TV with HDR support.,36
PR-HP-143,HP DeskJet 2720,HP,5999,20,Printer,PrintWorks Pvt Ltd,,Compact all-in-one printer for home tasks.,12
PR-CA-144,Canon PIXMA TS3320,Canon,5499,18,Printer,CameraKing Distributors,,All-in-one printer for documents and photos.,12
SP-BO-145,Bose SoundLink Color II,Bose,9999,12,Speaker,AudioMax Distributors,,Portable Bluetooth speaker with clear sound.,12
SP-JB-146,JBL Pulse 4,JBL,7999,15,Speaker,AudioMax Distributors,,Compact Bluetooth speaker with light show.,12
GC-NT-147,Nintendo Switch Gray,Nintendo,39999,20,Gaming Console,GameZone Distributors,,Standard Nintendo Switch console in gray color.,12
CAM-CA-148,Canon EOS Rebel SL3,Canon,69999,5,Camera,CameraKing Distributors,,Lightweight DSLR with 24MP sensor and 4K video.,24
CAM-NI-149,Nikon D5600,Nikon,64999,4,Camera,CameraKing Distributors,,Mid-level DSLR with versatile features.,24
CAM-FU-150,Fujifilm X-A7,Fujifilm,54999,6,Camera,CameraKing Distributors,,Mirrorless camera with touch display and 4K video.,24
LP-LE-151,Lenovo ThinkPad E15,Lenovo,59999,10,Laptop,DigiHub Electronics,,Reliable business laptop with Intel i5 and long battery life.,24
LP-AS-152,Asus ExpertBook B9,Asus,89999,7,Laptop,GameZone Distributors,,Business laptop with lightweight design and security features.,24
LP-HP-153,HP EliteBook 840 G8,HP,119999,5,Laptop,Elite Tech Supplies,,Business laptop with Intel i7 and premium build.,24
LP-SA-154,Samsung Galaxy Book Go,Samsung,54999,12,Laptop,Elite Tech Supplies,,Affordable Windows laptop with Snapdragon CPU.,24
SM-AP-155,iPhone 11,Apple,49999,25,Smartphone,TechWorld Pvt Ltd,,Apple smartphone with A13 Bionic chip and dual camera system.,36
SM-SA-156,Galaxy S20,Samsung,59999,15,Smartphone,MobileMart Pvt Ltd,,Samsung flagship smartphone with 5G support.,36
SM-OP-157,OnePlus 8,OnePlus,39999,20,Smartphone,TechWorld Pvt Ltd,,Previous-gen OnePlus phone with fast charging.,36
SP-BO-158,Bose Home Speaker 300,Bose,19999,10,Speaker,AudioMax Distributors,,Compact smart speaker with good sound quality.,12
SP-JB-159,JBL Go 3,JBL,2999,25,Speaker,AudioMax Distributors,,Tiny portable speaker with waterproof design.,12
CAM-CA-160,Canon EOS 90D,Canon,124999,3,Camera,CameraKing Distributors,,DSLR camera with 32MP sensor and 4K video.,24
CAM-NI-161,Nikon D750,Nikon,124999,2,Camera,CameraKing Distributors,,Full-frame DSLR for professional photography.,24
CAM-FU-162,Fujifilm X-Pro3,Fujifilm,154999,4,Camera,CameraKing Distributors,,Mirrorless camera with retro design and APS-C sensor.,24
TB-AP-163,iPad Pro 10.5,Apple,69999,6,Tablet,Elite Tech Supplies,,Older iPad Pro model with Retina display and Apple Pencil support.,24
TB-SA-164,Samsung Galaxy Tab S4,Samsung,29999,12,Tablet,TechWorld Pvt Ltd,,Android tablet with S Pen support and media features.,24
EB-AP-165,Apple AirPods Max 2,Apple,59999,8,Earbuds,SmartLife Traders,,Over-ear Apple wireless headphones with premium sound.,36
EB-SA-166,Samsung Galaxy Buds Live 2,Samsung,10999,20,Earbuds,SoundPro Solutions,,True wireless earbuds with ergonomic design.,36
GC-NT-167,Nintendo Switch Lite Yellow,Nintendo,19999,22,Gaming Console,GameZone Distributors,,Special edition Nintendo Switch Lite in yellow color.,12
MS-LO-168,Logitech M720 Triathlon,Logitech,4999,40,Mouse,Peripheral Pros,,Multi-device wireless mouse with ergonomic design.,12
MS-RA-169,Razer Huntsman Mini,Razer,8999,30,Mouse,Peripheral Pros,,Compact mechanical gaming keyboard with speed switches.,12
TV-LG-170,"LG 50\"" OLED TV",LG,169999,4,TV,VisionTech Supplies,,50-inch OLED smart TV with stunning colors.,24
TV-SA-171,"Samsung 48\"" QLED TV",Samsung,119999,6,TV,Visionary Electronics,,48-inch smart TV with QLED display.,24
TV-SO-172,"Sony Bravia 60\""",Sony,199999,3,TV,VisionTech Supplies,,60-inch 4K UHD smart TV with HDR support.,24
PR-HP-173,HP OfficeJet 5255,HP,14999,10,Printer,PrintWorks Pvt Ltd,,All-in-one office printer with scanning and copying.,12
PR-CA-174,Canon PIXMA MG3620 II,Canon,6999,15,Printer,CameraKing Distributors,,Entry-level printer for home use.,12
SP-BO-175,Bose Soundbar 700,Bose,59999,5,Speaker,AudioMax Distributors,,Premium soundbar with clear dialogue and deep bass.,24
SP-JB-176,JBL Flip 5,JBL,6999,20,Speaker,AudioMax Distributors,,Portable waterproof speaker with high-quality sound.,12
GC-NT-177,Nintendo Switch OLED Red,Nintendo,45999,8,Gaming Console,GameZone Distributors,,OLED Nintendo Switch with red theme edition.,12
CAM-CA-178,Canon EOS R,Canon,219999,3,Camera,CameraKing Distributors,,Full-frame mirrorless camera with high-speed autofocus.,24
CAM-NI-179,Nikon Z5,Nikon,174999,2,Camera,CameraKing Distributors,,Entry-level full-frame mirrorless camera with 24MP sensor.,24
CAM-FU-180,Fujifilm X-T3,Fujifilm,124999,4,Camera,CameraKing Distributors,,Mirrorless camera with 26MP sensor and 4K video.,24
TB-AP-181,iPad Pro 9.7,Apple,54999,5,Tablet,Elite Tech Supplies,,Older iPad Pro model with Retina display and Apple Pencil support.,24
TB-SA-182,Samsung Galaxy Tab S3,Samsung,27999,8,Tablet,TechWorld Pvt Ltd,,Android tablet with S Pen support and entertainment features.,24
EB-AP-183,Apple AirPods 1st Gen,Apple,9999,25,Earbuds,SmartLife Traders,,Original Apple AirPods with wireless performance.,12
EB-SA-184,Samsung Galaxy Buds Live 1,Samsung,8999,20,Earbuds,SoundPro Solutions,,True wireless earbuds with ergonomic design.,12
GC-NT-185,Nintendo Switch Lite Green,Nintendo,19999,15,Gaming Console,GameZone Distributors,,Special edition Nintendo Switch Lite in green color.,12
LP-LE-186,Lenovo ThinkPad L14,Lenovo,54999,10,Laptop,DigiHub Electronics,,Business laptop with reliable performance and Intel i5 processor.,24
LP-AS-187,Asus VivoBook S15,Asus,49999,12,Laptop,GameZone Distributors,,Lightweight laptop with fast SSD and good performance.,24
LP-HP-188,HP EliteBook x360,HP,124999,5,Laptop,Elite Tech Supplies,,Convertible business laptop with touchscreen and Intel i7 processor.,24
LP-SA-189,Samsung Galaxy Book Pro, Samsung,104999,6,Laptop,Elite Tech Supplies,,Slim laptop with AMOLED display and long battery life.,24
SM-AP-190,iPhone XR,Apple,44999,20,Smartphone,TechWorld Pvt Ltd,,Apple smartphone with A12 Bionic chip and dual camera system.,24
SM-SA-191,Galaxy A52,Samsung,24999,25,Smartphone,MobileMart Pvt Ltd,,Mid-range Samsung smartphone with AMOLED display.,24
SM-OP-192,OnePlus 7T,OnePlus,34999,18,Smartphone,TechWorld Pvt Ltd,,Fast and smooth OnePlus smartphone with Snapdragon processor.,24
SP-BO-193,Bose SoundTouch 10,Bose,14999,12,Speaker,AudioMax Distributors,,Compact smart speaker with Wi-Fi and Bluetooth connectivity.,12
SP-JB-194,JBL Go 2,JBL,2999,20,Speaker,AudioMax Distributors,,Small portable speaker with decent sound quality.,12
CAM-CA-195,Canon EOS 6D Mark II,Canon,174999,3,Camera,CameraKing Distributors,,Full-frame DSLR with 26MP sensor for professional photography.,24
CAM-NI-196,Nikon D610,Nikon,159999,2,Camera,CameraKing Distributors,,Full-frame DSLR with reliable image quality and features.,24
CAM-FU-197,Fujifilm X-T30,Fujifilm,84999,5,Camera,CameraKing Distributors,,Mirrorless camera with APS-C sensor and 4K video.,24
TB-AP-198,iPad Mini 4,Apple,19999,12,Tablet,Elite Tech Supplies,,Compact Apple tablet with portability and productivity features.,24
TB-SA-199,Samsung Galaxy Tab A 10.1,Samsung,17999,15,Tablet,TechWorld Pvt Ltd,,Affordable tablet for media and basic productivity.,24
EB-AP-200,Apple AirPods Pro 1,Apple,17999,22,Earbuds,SmartLife Traders,,Wireless earbuds with noise cancellation and good sound quality.,12
SP-1001,Galaxy S23,Samsung,74999,15,Smartphone,TechWorld Pvt Ltd,,Flagship Android smartphone,24
SP-1002,iPhone 14,Apple,69999,0,Smartphone,MobileMart Pvt Ltd,,Premium iOS smartphone,24
SP-1003,Redmi Note 13,Redmi,18999,20,Smartphone,TechNova Pvt Ltd,,Value smartphone with AMOLED display,24
LP-2001,Inspiron 15,Dell,55999,12,Laptop,DigiHub Electronics,,Everyday performance laptop,24
