product_sku,action,quantity,created_at,reason
CH-AN-0210,OUT,3,2024-01-04 02:53:27,Sale - Order BILL-06252
SM-AP-0282,OUT,1,2024-01-04 02:53:27,Sale - Order BILL-06252
GA-MI-0031,OUT,3,2024-01-04 09:17:20,Sale - Order BILL-07904
PO-RE-0507,OUT,1,2024-01-04 09:17:20,Sale - Order BILL-07904
CH-AN-0229,OUT,2,2024-01-04 09:46:32,Sale - Order BILL-00664
HE-SO-0739,OUT,1,2024-01-04 09:46:32,Sale - Order BILL-00664
CA-SO-0295,OUT,3,2024-01-04 09:46:32,Sale - Order BILL-00664
MO-LO-0542,OUT,2,2024-01-04 10:02:01,Sale - Order BILL-01699
MO-LO-0563,OUT,1,2024-01-04 10:02:01,Sale - Order BILL-01699
LA-HP-0589,OUT,1,2024-01-04 10:42:12,Sale - Order BILL-03853
GA-SO-0509,OUT,3,2024-01-04 10:42:12,Sale - Order BILL-03853
WE-HP-0073,OUT,3,2024-01-04 10:42:12,Sale - Order BILL-03853
EA-SA-0526,OUT,1,2024-01-04 10:42:12,Sale - Order BILL-03853
PO-MI-0158,OUT,1,2024-01-04 10:42:12,Sale - Order BILL-03853
MO-LO-0611,OUT,1,2024-01-04 12:05:01,Sale - Order BILL-00699
SP-SO-0217,OUT,3,2024-01-04 12:05:01,Sale - Order BILL-00699
CA-SO-0476,OUT,3,2024-01-04 12:22:13,Sale - Order BILL-01238
SM-VI-0352,OUT,1,2024-01-04 12:22:13,Sale - Order BILL-01238
ME-SA-0301,OUT,3,2024-01-04 14:49:35,Sale - Order BILL-02406
RO-AS-0255,OUT,2,2024-01-04 14:49:35,Sale - Order BILL-02406
TA-AP-0253,OUT,3,2024-01-04 15:27:22,Sale - Order BILL-08496
RO-NE-0440,OUT,3,2024-01-04 15:27:22,Sale - Order BILL-08496
HE-AU-0008,OUT,3,2024-01-04 15:27:22,Sale - Order BILL-08496
MO-DE-0552,OUT,2,2024-01-04 19:10:15,Sale - Order BILL-09774
KE-RA-0339,OUT,3,2024-01-04 20:19:34,Sale - Order BILL-06518
KE-ST-0159,OUT,3,2024-01-04 20:19:57,Sale - Order BILL-00335
MO-HP-0715,OUT,3,2024-01-04 20:19:57,Sale - Order BILL-00335
WE-HP-0146,OUT,1,2024-01-04 20:19:57,Sale - Order BILL-00335
LA-LG-0676,OUT,2,2024-01-04 20:19:57,Sale - Order BILL-00335
MO-ST-0385,OUT,2,2024-01-04 20:19:57,Sale - Order BILL-00335
TV-SA-0406,OUT,2,2024-01-05 10:50:55,Sale - Order BILL-08639
ME-KI-0480,OUT,1,2024-01-05 10:50:55,Sale - Order BILL-08639
SP-UL-0230,OUT,1,2024-01-05 17:12:55,Sale - Order BILL-06509
CH-SA-0149,OUT,3,2024-01-05 17:12:55,Sale - Order BILL-06509
PO-MI-0158,OUT,2,2024-01-05 17:12:55,Sale - Order BILL-06509
SM-NO-0530,OUT,3,2024-01-05 17:41:08,Sale - Order BILL-03592
EA-NO-0769,OUT,3,2024-01-05 17:41:08,Sale - Order BILL-03592
HE-AU-0008,OUT,1,2024-01-05 18:46:44,Sale - Order BILL-03558
MO-AS-0347,OUT,1,2024-01-05 19:17:11,Sale - Order BILL-02369
SM-MO-0245,OUT,3,2024-01-05 19:17:11,Sale - Order BILL-02369
HE-JB-0666,OUT,3,2024-01-05 19:23:54,Sale - Order BILL-06660
PR-BR-0699,OUT,2,2024-01-05 19:23:54,Sale - Order BILL-06660
SM-VI-0281,OUT,3,2024-01-05 20:04:51,Sale - Order BILL-03511
SM-AP-0254,OUT,3,2024-01-05 20:04:51,Sale - Order BILL-03511
SM-RE-0021,OUT,3,2024-01-05 22:09:35,Sale - Order BILL-05593
CA-AM-0707,OUT,2,2024-01-05 22:09:35,Sale - Order BILL-05593
SM-RE-0293,OUT,2,2024-01-06 06:42:32,Sale - Order BILL-03621
WE-RA-0152,OUT,3,2024-01-06 08:51:30,Sale - Order BILL-07886
KE-KE-0235,OUT,3,2024-01-06 08:51:30,Sale - Order BILL-07886
ME-SA-0058,OUT,1,2024-01-06 08:53:54,Sale - Order BILL-04861
TV-XI-0318,OUT,2,2024-01-06 08:53:54,Sale - Order BILL-04861
PO-AM-0459,OUT,3,2024-01-06 10:50:02,Sale - Order BILL-00112
CA-UG-0735,OUT,1,2024-01-06 10:50:02,Sale - Order BILL-00112
CA-BO-0139,OUT,2,2024-01-06 12:29:06,Sale - Order BILL-07772
CA-BE-0539,OUT,3,2024-01-06 12:29:06,Sale - Order BILL-07772
CA-AN-0613,OUT,3,2024-01-06 12:29:06,Sale - Order BILL-07772
SM-AP-0254,OUT,1,2024-01-06 19:08:50,Sale - Order BILL-04986
SM-NO-0662,OUT,3,2024-01-06 19:08:50,Sale - Order BILL-04986
CA-GO-0289,OUT,3,2024-01-06 19:37:53,Sale - Order BILL-03681
PO-AN-0658,OUT,1,2024-01-06 19:37:53,Sale - Order BILL-03681
SM-MO-0630,OUT,1,2024-01-06 21:47:44,Sale - Order BILL-01621
TA-MI-0286,OUT,1,2024-01-06 21:47:44,Sale - Order BILL-01621
PO-SA-0749,OUT,2,2024-01-07 06:51:46,Sale - Order BILL-00373
HE-SK-0046,OUT,3,2024-01-07 06:51:46,Sale - Order BILL-00373
CA-ON-0285,OUT,3,2024-01-07 06:52:41,Sale - Order BILL-07297
CA-BE-0367,OUT,1,2024-01-07 06:52:41,Sale - Order BILL-07297
SM-GA-0223,OUT,1,2024-01-07 06:52:41,Sale - Order BILL-07297
CA-AM-0798,OUT,3,2024-01-07 09:36:21,Sale - Order BILL-02645
MO-HP-0581,OUT,3,2024-01-07 17:50:39,Sale - Order BILL-05086
PO-AN-0182,OUT,2,2024-01-07 17:50:39,Sale - Order BILL-05086
SM-MO-0187,OUT,2,2024-01-07 17:50:39,Sale - Order BILL-05086
EA-SA-0206,OUT,2,2024-01-08 11:53:09,Sale - Order BILL-06023
CH-SA-0149,OUT,2,2024-01-08 11:53:09,Sale - Order BILL-06023
GA-SO-0736,OUT,3,2024-01-08 13:57:33,Sale - Order BILL-09704
SP-UL-0496,OUT,3,2024-01-08 13:57:33,Sale - Order BILL-09704
WE-HP-0205,OUT,1,2024-01-08 18:26:27,Sale - Order BILL-06999
ME-SA-0279,OUT,3,2024-01-08 18:26:27,Sale - Order BILL-06999
CA-AN-0613,OUT,2,2024-01-08 19:06:55,Sale - Order BILL-08797
CA-BO-0166,OUT,2,2024-01-09 05:42:16,Sale - Order BILL-04658
PO-AM-0435,OUT,1,2024-01-09 05:42:16,Sale - Order BILL-04658
CA-BE-0738,OUT,1,2024-01-09 05:42:16,Sale - Order BILL-04658
CH-ON-0434,OUT,3,2024-01-09 10:35:35,Sale - Order BILL-08451
RO-TP-0723,OUT,1,2024-01-09 10:35:35,Sale - Order BILL-08451
CH-SA-0420,OUT,1,2024-01-09 10:57:53,Sale - Order BILL-09642
KE-ST-0159,OUT,3,2024-01-09 10:57:53,Sale - Order BILL-09642
SM-BO-0172,OUT,1,2024-01-09 12:56:01,Sale - Order BILL-07327
GA-MI-0031,OUT,2,2024-01-09 12:56:01,Sale - Order BILL-07327
SM-OP-0147,OUT,2,2024-01-09 12:56:01,Sale - Order BILL-07327
CA-AM-0798,OUT,2,2024-01-09 16:19:15,Sale - Order BILL-06031
SM-RE-0293,OUT,2,2024-01-09 16:19:15,Sale - Order BILL-06031
CH-AN-0261,OUT,3,2024-01-09 16:19:15,Sale - Order BILL-06031
CA-BO-0042,OUT,2,2024-01-09 16:19:15,Sale - Order BILL-06031
LA-MI-0126,OUT,1,2024-01-09 16:27:56,Sale - Order BILL-03543
SP-JB-0670,OUT,3,2024-01-09 16:27:56,Sale - Order BILL-03543
LA-LE-0398,OUT,2,2024-01-09 17:07:12,Sale - Order BILL-08245
MO-DE-0681,OUT,3,2024-01-09 17:07:12,Sale - Order BILL-08245
KE-ST-0215,OUT,1,2024-01-09 17:25:04,Sale - Order BILL-05425
MO-RA-0156,OUT,1,2024-01-09 18:32:56,Sale - Order BILL-09591
RO-AS-0224,OUT,1,2024-01-09 18:32:56,Sale - Order BILL-09591
RO-D--0266,OUT,3,2024-01-09 18:32:56,Sale - Order BILL-09591
CH-BO-0601,OUT,1,2024-01-09 18:32:56,Sale - Order BILL-09591
LA-HP-0355,OUT,2,2024-01-09 18:32:56,Sale - Order BILL-09591
PR-EP-0479,OUT,3,2024-01-09 21:09:05,Sale - Order BILL-07420
KE-RA-0341,OUT,2,2024-01-09 21:09:05,Sale - Order BILL-07420
PO-SY-0288,OUT,3,2024-01-10 01:51:04,Sale - Order BILL-09835
PO-SA-0749,OUT,3,2024-01-10 01:51:04,Sale - Order BILL-09835
WE-RA-0214,OUT,1,2024-01-10 01:51:04,Sale - Order BILL-09835
RO-AS-0224,OUT,3,2024-01-10 04:00:54,Sale - Order BILL-05791
SM-GO-0195,OUT,2,2024-01-10 04:00:54,Sale - Order BILL-05791
SP-BO-0675,OUT,1,2024-01-10 12:32:20,Sale - Order BILL-08841
WE-LO-0108,OUT,3,2024-01-10 13:35:46,Sale - Order BILL-08953
SP-JB-0278,OUT,3,2024-01-10 13:35:46,Sale - Order BILL-08953
HE-PH-0629,OUT,1,2024-01-10 18:09:45,Sale - Order BILL-00645
SP-HA-0620,OUT,3,2024-01-10 21:46:39,Sale - Order BILL-06470
WE-MI-0756,OUT,1,2024-01-10 21:46:39,Sale - Order BILL-06470
CH-BO-0532,OUT,3,2024-01-11 02:21:48,Sale - Order BILL-05210
RO-CI-0263,OUT,1,2024-01-11 02:21:48,Sale - Order BILL-05210
PR-CA-0310,OUT,3,2024-01-11 08:29:35,Sale - Order BILL-09548
GA-SO-0144,OUT,2,2024-01-11 17:09:28,Sale - Order BILL-05940
PO-RE-0311,OUT,1,2024-01-11 17:09:28,Sale - Order BILL-05940
TA-AP-0253,OUT,3,2024-01-11 17:09:28,Sale - Order BILL-05940
TV-PA-0348,OUT,1,2024-01-11 18:01:18,Sale - Order BILL-02797
MO-DE-0618,OUT,1,2024-01-11 18:01:18,Sale - Order BILL-02797
MO-HP-0227,OUT,3,2024-01-12 01:49:06,Sale - Order BILL-08131
LA-DE-0299,OUT,2,2024-01-12 01:49:06,Sale - Order BILL-08131
PR-BR-0427,OUT,3,2024-01-12 01:49:06,Sale - Order BILL-08131
WE-HP-0138,OUT,2,2024-01-12 01:49:06,Sale - Order BILL-08131
SM-GA-0779,OUT,1,2024-01-12 05:39:26,Sale - Order BILL-05922
PO-SY-0287,OUT,2,2024-01-12 05:39:26,Sale - Order BILL-05922
KE-DU-0121,OUT,1,2024-01-12 09:36:49,Sale - Order BILL-01523
TV-SO-0674,OUT,1,2024-01-12 09:36:49,Sale - Order BILL-01523
MO-HP-0044,OUT,3,2024-01-12 09:47:30,Sale - Order BILL-09846
KE-LO-0364,OUT,3,2024-01-12 09:47:30,Sale - Order BILL-09846
SM-BO-0222,OUT,2,2024-01-12 10:37:03,Sale - Order BILL-04535
ME-SO-0074,OUT,1,2024-01-12 10:37:03,Sale - Order BILL-04535
HE-PH-0020,OUT,1,2024-01-12 11:32:20,Sale - Order BILL-02912
PO-SY-0536,OUT,2,2024-01-12 14:27:07,Sale - Order BILL-00378
LA-HP-0355,OUT,3,2024-01-12 14:27:07,Sale - Order BILL-00378
LA-AS-0034,OUT,1,2024-01-12 14:41:07,Sale - Order BILL-00579
CA-AM-0590,OUT,2,2024-01-12 14:41:07,Sale - Order BILL-00579
CA-AM-0798,OUT,3,2024-01-12 20:46:04,Sale - Order BILL-04266
MO-AC-0602,OUT,2,2024-01-12 20:46:04,Sale - Order BILL-04266
TA-LE-0633,OUT,1,2024-01-12 20:46:04,Sale - Order BILL-04266
SM-FI-0565,OUT,1,2024-01-12 23:34:16,Sale - Order BILL-04448
CA-BE-0578,OUT,3,2024-01-12 23:34:16,Sale - Order BILL-04448
TV-SO-0674,OUT,2,2024-01-12 23:34:16,Sale - Order BILL-04448
PO-AM-0435,OUT,1,2024-01-13 03:13:49,Sale - Order BILL-00248
TV-TC-0706,OUT,3,2024-01-13 03:13:49,Sale - Order BILL-00248
PO-MI-0158,OUT,2,2024-01-13 03:41:30,Sale - Order BILL-07685
PR-BR-0130,OUT,3,2024-01-13 03:41:30,Sale - Order BILL-07685
SM-AP-0254,OUT,3,2024-01-13 03:41:30,Sale - Order BILL-07685
WE-LO-0105,OUT,2,2024-01-13 03:41:30,Sale - Order BILL-07685
RO-D--0266,OUT,3,2024-01-13 03:41:30,Sale - Order BILL-07685
CA-ON-0684,OUT,1,2024-01-13 03:49:48,Sale - Order BILL-03596
LA-HP-0199,OUT,2,2024-01-13 08:57:30,Sale - Order BILL-03999
CH-SA-0137,OUT,3,2024-01-13 08:57:30,Sale - Order BILL-03999
CA-AN-0754,OUT,3,2024-01-13 08:57:30,Sale - Order BILL-03999
SM-AP-0150,OUT,3,2024-01-13 10:13:56,Sale - Order BILL-00326
LA-DE-0089,OUT,2,2024-01-13 11:16:29,Sale - Order BILL-06676
MO-ST-0099,OUT,2,2024-01-13 18:24:11,Sale - Order BILL-08485
HE-SO-0586,OUT,2,2024-01-13 18:24:11,Sale - Order BILL-08485
TV-TC-0325,OUT,3,2024-01-13 18:24:11,Sale - Order BILL-08485
GA-NI-0320,OUT,1,2024-01-13 21:41:54,Sale - Order BILL-07268
SM-XI-0377,OUT,2,2024-01-14 05:50:04,Sale - Order BILL-01685
TA-AP-0005,OUT,3,2024-01-14 08:24:29,Sale - Order BILL-06496
CH-SA-0345,OUT,2,2024-01-14 08:24:29,Sale - Order BILL-06496
SP-BO-0129,OUT,1,2024-01-14 09:22:45,Sale - Order BILL-09476
TV-XI-0032,OUT,1,2024-01-14 10:49:45,Sale - Order BILL-04173
ME-TR-0573,OUT,3,2024-01-14 10:49:45,Sale - Order BILL-04173
SM-RE-0021,OUT,3,2024-01-14 17:58:27,Sale - Order BILL-03993
HE-BE-0546,OUT,1,2024-01-14 17:58:27,Sale - Order BILL-03993
SM-RE-0021,OUT,2,2024-01-14 18:30:22,Sale - Order BILL-02128
ME-TR-0637,OUT,1,2024-01-14 22:49:58,Sale - Order BILL-05320
PO-AN-0658,OUT,2,2024-01-14 22:49:58,Sale - Order BILL-05320
SM-ON-0412,OUT,2,2024-01-14 22:49:58,Sale - Order BILL-05320
PR-XE-0567,OUT,2,2024-01-15 02:16:14,Sale - Order BILL-02503
TA-AM-0645,OUT,1,2024-01-15 02:16:14,Sale - Order BILL-02503
SM-SA-0183,OUT,1,2024-01-15 05:42:36,Sale - Order BILL-05238
LA-LG-0163,OUT,3,2024-01-15 10:16:50,Sale - Order BILL-00149
TV-XI-0032,OUT,3,2024-01-15 11:09:09,Sale - Order BILL-03223
SM-SA-0183,OUT,3,2024-01-15 11:14:02,Sale - Order BILL-06002
SP-UL-0496,OUT,3,2024-01-15 11:14:02,Sale - Order BILL-06002
MO-AS-0347,OUT,2,2024-01-15 11:14:02,Sale - Order BILL-06002
PR-XE-0567,OUT,2,2024-01-15 13:25:54,Sale - Order BILL-02426
TA-XI-0732,OUT,2,2024-01-15 13:25:54,Sale - Order BILL-02426
SP-JB-0697,OUT,2,2024-01-15 13:25:54,Sale - Order BILL-02426
KE-RA-0339,OUT,3,2024-01-15 13:25:54,Sale - Order BILL-02426
GA-NI-0320,OUT,2,2024-01-15 15:53:15,Sale - Order BILL-02415
SM-ON-0576,OUT,1,2024-01-15 21:14:37,Sale - Order BILL-08952
WE-MI-0767,OUT,3,2024-01-15 23:43:17,Sale - Order BILL-02672
LA-MI-0171,OUT,2,2024-01-15 23:43:17,Sale - Order BILL-02672
PR-EP-0119,OUT,3,2024-01-15 23:43:17,Sale - Order BILL-02672
RO-D--0724,OUT,3,2024-01-15 23:43:17,Sale - Order BILL-02672
WE-HP-0775,OUT,1,2024-01-16 12:58:09,Sale - Order BILL-02040
CA-NI-0569,OUT,3,2024-01-16 12:58:09,Sale - Order BILL-02040
SM-BO-0239,OUT,2,2024-01-17 09:54:16,Sale - Order BILL-02460
KE-CO-0023,OUT,3,2024-01-17 13:46:34,Sale - Order BILL-09329
HE-SE-0260,OUT,1,2024-01-17 13:46:34,Sale - Order BILL-09329
MO-ST-0099,OUT,2,2024-01-17 13:46:34,Sale - Order BILL-09329
LA-MI-0467,OUT,3,2024-01-17 15:41:43,Sale - Order BILL-06878
MO-VI-0693,OUT,3,2024-01-17 15:41:43,Sale - Order BILL-06878
SM-BO-0172,OUT,3,2024-01-17 15:41:43,Sale - Order BILL-06878
KE-ST-0159,OUT,2,2024-01-17 15:41:43,Sale - Order BILL-06878
HE-SE-0209,OUT,1,2024-01-17 15:41:43,Sale - Order BILL-06878
LA-RA-0095,IN,109,2024-01-17 20:20:07,Purchase Order PO-00337
SM-BO-0177,OUT,2,2024-01-17 20:59:43,Sale - Order BILL-03765
CA-UG-0735,OUT,3,2024-01-17 20:59:43,Sale - Order BILL-03765
GA-NI-0659,OUT,2,2024-01-18 03:22:31,Sale - Order BILL-05050
SM-AP-0150,OUT,1,2024-01-18 03:22:31,Sale - Order BILL-05050
RO-LI-0528,OUT,2,2024-01-18 04:20:29,Sale - Order BILL-08076
CA-CA-0019,OUT,3,2024-01-18 04:20:29,Sale - Order BILL-08076
TA-XI-0732,OUT,2,2024-01-18 04:20:29,Sale - Order BILL-08076
TA-RE-0344,OUT,3,2024-01-18 08:40:05,Sale - Order BILL-01295
HE-SO-0586,OUT,2,2024-01-18 20:38:49,Sale - Order BILL-06785
PR-CA-0310,OUT,3,2024-01-18 20:38:49,Sale - Order BILL-06785
EA-NO-0691,OUT,3,2024-01-18 22:36:12,Sale - Order BILL-09872
CA-UG-0682,OUT,1,2024-01-19 00:53:34,Sale - Order BILL-01194
SM-FI-0462,OUT,3,2024-01-19 00:53:34,Sale - Order BILL-01194
RO-AS-0069,OUT,2,2024-01-19 00:53:34,Sale - Order BILL-01194
HE-PH-0020,OUT,2,2024-01-19 00:53:34,Sale - Order BILL-01194
HE-BE-0415,OUT,3,2024-01-19 05:01:44,Sale - Order BILL-02436
ME-SA-0607,OUT,1,2024-01-19 05:16:45,Sale - Order BILL-00479
SM-GA-0232,OUT,1,2024-01-19 05:16:45,Sale - Order BILL-00479
TA-AP-0118,OUT,3,2024-01-19 07:51:19,Sale - Order BILL-01435
CA-BO-0451,OUT,1,2024-01-19 07:51:19,Sale - Order BILL-01435
SM-MO-0245,OUT,1,2024-01-19 07:51:19,Sale - Order BILL-01435
GA-NI-0705,OUT,1,2024-01-19 07:51:19,Sale - Order BILL-01435
RO-AS-0069,OUT,2,2024-01-19 07:51:19,Sale - Order BILL-01435
LA-LE-0784,OUT,2,2024-01-19 13:40:41,Sale - Order BILL-06367
SP-SO-0554,OUT,2,2024-01-19 13:40:41,Sale - Order BILL-06367
TV-ON-0081,OUT,1,2024-01-19 13:40:41,Sale - Order BILL-06367
CA-BE-0578,OUT,3,2024-01-19 15:37:47,Sale - Order BILL-04193
TA-AP-0180,OUT,2,2024-01-19 15:37:47,Sale - Order BILL-04193
GA-SO-0490,OUT,1,2024-01-19 15:56:40,Sale - Order BILL-00908
CA-GO-0513,OUT,3,2024-01-19 15:56:40,Sale - Order BILL-00908
SP-HA-0574,OUT,2,2024-01-19 15:56:40,Sale - Order BILL-00908
CA-AN-0613,OUT,3,2024-01-19 15:56:40,Sale - Order BILL-00908
CA-SO-0018,OUT,3,2024-01-19 15:56:40,Sale - Order BILL-00908
SM-RE-0486,OUT,1,2024-01-19 17:04:09,Sale - Order BILL-06737
WE-LO-0672,OUT,2,2024-01-20 07:19:12,Sale - Order BILL-07441
PO-MI-0087,OUT,1,2024-01-20 17:11:00,Sale - Order BILL-06832
CA-SO-0731,OUT,3,2024-01-20 17:11:00,Sale - Order BILL-06832
TV-PA-0460,OUT,1,2024-01-20 17:11:00,Sale - Order BILL-06832
WE-HP-0360,OUT,2,2024-01-20 17:11:00,Sale - Order BILL-06832
GA-NI-0418,OUT,2,2024-01-20 17:11:00,Sale - Order BILL-06832
SP-HA-0574,OUT,3,2024-01-20 19:14:44,Sale - Order BILL-09963
EA-BO-0225,OUT,3,2024-01-20 19:14:44,Sale - Order BILL-09963
SM-ON-0576,OUT,2,2024-01-20 19:14:44,Sale - Order BILL-09963
GA-NI-0418,OUT,2,2024-01-20 21:29:52,Sale - Order BILL-04601
WE-LO-0105,OUT,1,2024-01-20 21:29:52,Sale - Order BILL-04601
CA-AN-0078,OUT,3,2024-01-20 21:29:52,Sale - Order BILL-04601
LA-MI-0378,OUT,2,2024-01-20 21:29:52,Sale - Order BILL-04601
SP-MA-0280,OUT,3,2024-01-20 21:29:52,Sale - Order BILL-04601
PR-HP-0043,OUT,3,2024-01-21 00:46:52,Sale - Order BILL-03682
SM-NO-0662,OUT,1,2024-01-21 00:46:52,Sale - Order BILL-03682
MO-AS-0347,OUT,2,2024-01-21 02:11:36,Sale - Order BILL-00822
CA-AM-0590,OUT,2,2024-01-21 02:11:36,Sale - Order BILL-00822
PR-BR-0519,OUT,2,2024-01-21 02:11:36,Sale - Order BILL-00822
ME-SO-0458,OUT,3,2024-01-21 07:32:31,Sale - Order BILL-05330
SM-RE-0021,OUT,1,2024-01-21 07:32:31,Sale - Order BILL-05330
TA-AM-0407,OUT,3,2024-01-21 07:32:31,Sale - Order BILL-05330
WE-CR-0388,OUT,3,2024-01-21 07:56:56,Sale - Order BILL-05106
KE-KE-0098,OUT,2,2024-01-21 07:56:56,Sale - Order BILL-05106
KE-ST-0766,IN,34,2024-01-21 08:56:30,Purchase Order PO-00210
HE-SE-0260,OUT,1,2024-01-21 09:43:14,Sale - Order BILL-08335
EA-AP-0531,OUT,2,2024-01-21 09:43:51,Sale - Order BILL-09593
GA-MI-0794,OUT,1,2024-01-21 09:43:51,Sale - Order BILL-09593
ME-SO-0247,OUT,2,2024-01-21 15:22:28,Sale - Order BILL-03015
CH-SA-0149,OUT,3,2024-01-21 15:22:28,Sale - Order BILL-03015
MO-DE-0552,OUT,3,2024-01-21 15:22:28,Sale - Order BILL-03015
EA-SO-0326,OUT,1,2024-01-21 16:01:08,Sale - Order BILL-00039
WE-MI-0438,OUT,1,2024-01-21 16:01:08,Sale - Order BILL-00039
EA-NO-0691,OUT,2,2024-01-21 19:56:47,Sale - Order BILL-03149
KE-DE-0133,OUT,3,2024-01-22 00:06:11,Sale - Order BILL-02808
CH-RE-0773,OUT,2,2024-01-22 00:06:11,Sale - Order BILL-02808
HE-BE-0546,OUT,1,2024-01-22 00:06:11,Sale - Order BILL-02808
CA-BO-0426,OUT,2,2024-01-22 00:06:11,Sale - Order BILL-02808
SM-GA-0223,OUT,3,2024-01-22 01:03:00,Sale - Order BILL-03374
SM-OP-0330,OUT,2,2024-01-22 01:03:00,Sale - Order BILL-03374
WE-LO-0672,OUT,2,2024-01-22 06:22:40,Sale - Order BILL-09033
PO-RE-0029,OUT,2,2024-01-22 06:22:40,Sale - Order BILL-09033
PO-MI-0087,OUT,3,2024-01-22 06:22:40,Sale - Order BILL-09033
PO-RE-0507,OUT,2,2024-01-22 07:17:56,Sale - Order BILL-02734
ME-TR-0037,OUT,3,2024-01-22 08:37:50,Sale - Order BILL-02120
PR-CA-0743,OUT,3,2024-01-22 19:44:00,Sale - Order BILL-05902
TV-SA-0654,OUT,1,2024-01-22 20:29:44,Sale - Order BILL-04379
LA-HP-0432,OUT,3,2024-01-22 20:29:44,Sale - Order BILL-04379
TA-XI-0184,OUT,2,2024-01-23 06:43:33,Sale - Order BILL-08325
CH-RE-0751,OUT,2,2024-01-23 06:43:33,Sale - Order BILL-08325
CA-AM-0615,OUT,1,2024-01-23 10:46:45,Sale - Order BILL-04841
TV-SO-0674,OUT,3,2024-01-23 10:46:45,Sale - Order BILL-04841
GA-MI-0425,OUT,3,2024-01-23 14:32:31,Sale - Order BILL-03573
TV-SA-0572,OUT,3,2024-01-23 15:10:57,Sale - Order BILL-08920
CA-SO-0529,OUT,2,2024-01-23 15:10:57,Sale - Order BILL-08920
MO-DE-0497,OUT,2,2024-01-23 15:10:57,Sale - Order BILL-08920
GA-SO-0512,OUT,1,2024-01-23 15:10:57,Sale - Order BILL-08920
RO-LI-0453,OUT,3,2024-01-23 15:10:57,Sale - Order BILL-08920
HE-SK-0331,OUT,2,2024-01-23 17:09:21,Sale - Order BILL-08435
