id,product_sku,supplier,description,quantity,status,created_at
45,RO-CI-0768,Visionary Electronics,Urgent: Cisco Router Model 824 running out,117,Approved,2024-02-27 00:36:32
46,WE-LO-0066,TechNova Pvt Ltd,Urgent: Logitech Webcam Model 194 running out,94,Pending,2024-04-13 01:13:00
47,CA-UG-0450,MobileMart Pvt Ltd,Bulk order request for Ugreen Cable Model 974,85,Approved,2025-03-21 12:51:51
48,CH-AN-0771,GameZone Distributors,Bulk order request for Anker Charger Model 368,106,Pending,2024-08-09 03:33:42
49,TV-TC-0356,PrintWorks Pvt Ltd,Seasonal demand increase for TCL TV Model 781,24,Pending,2024-12-10 20:39:22
50,GA-SO-0509,PowerTech Distributors,Bulk order request for Sony Gaming Console Model 159,142,Approved,2024-05-13 23:32:47
51,CA-CA-0296,GadgetHub India,Customer pre-orders for Canon Camera Model 405,186,Approved,2025-01-24 17:31:27
52,GA-MI-0151,AudioMax Distributors,Seasonal demand increase for Microsoft Gaming Console Model 744,158,Rejected,2025-02-06 11:46:10
53,RO-CI-0016,GameZone Distributors,Bulk order request for Cisco Router Model 260,17,Approved,2024-12-29 09:38:18
54,ME-SO-0368,Peripheral Pros,Urgent: Sony Memory Card Model 251 running out,18,Approved,2025-12-12 05:56:51
55,CA-SO-0414,SmartLife Traders,Urgent: Sony Camera Model 424 running out,101,Pending,2024-02-26 18:53:14
56,TA-AM-0170,TechWorld Pvt Ltd,Urgent: Amazon Tablet Model 913 running out,28,Pending,2025-02-17 17:21:36
57,TA-MI-0762,SoundPro Solutions,Seasonal demand increase for Microsoft Tablet Model 284,77,Rejected,2024-02-08 22:26:41
58,CA-AN-0686,ElectroMart Solutions,Seasonal demand increase for Anker Cable Model 931,86,Approved,2025-11-09 01:49:59
59,CA-SO-0428,GadgetHub India,Urgent: Sony Camera Model 352 running out,115,Rejected,2024-03-13 06:08:20
60,PO-AM-0489,GameZone Distributors,Customer pre-orders for Ambrane Power Bank Model 505,76,Approved,2025-06-16 04:37:51
61,TA-SA-0748,SmartLife Traders,Low stock alert - need restock for Samsung Tablet Model 538,188,Approved,2025-04-16 20:53:51
62,CA-GO-0052,MobileMart Pvt Ltd,Bulk order request for GoPro Camera Model 171,84,Pending,2025-11-11 11:44:05
63,ME-SO-0429,Elite Tech Supplies,Urgent: Sony Memory Card Model 345 running out,157,Approved,2024-05-07 15:42:53
64,PO-RE-0507,CameraKing Distributors,Bulk order request for Realme Power Bank Model 438,77,Approved,2024-01-08 19:19:56
65,PR-CA-0786,Elite Tech Supplies,Bulk order request for Canon Printer Model 414,16,Approved,2025-11-30 19:29:59
66,ME-SA-0300,AudioMax Distributors,Low stock alert - need restock for SanDisk Memory Card Model 601,25,Pending,2024-10-27 19:52:59
67,TV-TC-0706,Visionary Electronics,Urgent: TCL TV Model 294 running out,191,Approved,2025-02-09 20:08:49
68,PO-RE-0561,Peripheral Pros,Seasonal demand increase for Realme Power Bank Model 147,56,Approved,2024-06-18 12:08:47
69,HE-JB-0795,Visionary Electronics,Bulk order request for JBL Headphones Model 586,169,Approved,2025-09-19 03:04:44
70,CA-ON-0285,SoundPro Solutions,Urgent: OnePlus Cable Model 673 running out,67,Approved,2026-01-13 20:27:05
71,MO-ST-0788,ElectroMart Solutions,Low stock alert - need restock for SteelSeries Mouse Model 458,31,Pending,2024-09-07 19:56:34
72,MO-RA-0030,SmartLife Traders,Customer pre-orders for Razer Mouse Model 825,131,Approved,2026-01-17 04:07:40
73,PO-AM-0489,GameZone Distributors,Urgent: Ambrane Power Bank Model 505 running out,30,Approved,2024-07-12 22:48:19
74,WE-RA-0214,ElectroMart Solutions,Low stock alert - need restock for Razer Webcam Model 820,178,Pending,2024-07-29 16:05:43
75,GA-SO-0522,GameZone Distributors,Seasonal demand increase for Sony Gaming Console Model 955,161,Pending,2025-01-28 12:09:12
76,HE-SE-0358,ReadMore Supplies,Seasonal demand increase for Sennheiser Headphones Model 762,36,Rejected,2025-06-13 06:38:45
77,SM-BO-0239,SmartLife Traders,Customer pre-orders for Boat Smartwatch Model 212,110,Pending,2024-07-25 14:02:55
78,GA-MI-0053,Peripheral Pros,Bulk order request for Microsoft Gaming Console Model 469,132,Rejected,2025-05-30 10:03:20
79,GA-SO-0538,ConnectPro Supplies,Bulk order request for Sony Gaming Console Model 179,72,Approved,2025-04-05 04:55:15
80,TV-ON-0433,Elite Tech Supplies,Customer pre-orders for OnePlus TV Model 942,95,Pending,2026-01-29 19:39:51
81,TA-MI-0286,TechWorld Pvt Ltd,Low stock alert - need restock for Microsoft Tablet Model 783,152,Approved,2024-06-23 10:40:37
82,RO-TP-0800,CameraKing Distributors,Urgent: TP-Link Router Model 838 running out,137,Approved,2025-04-21 22:50:42
83,CA-AM-0759,Visionary Electronics,Low stock alert - need restock for AmazonBasics Cable Model 867,36,Rejected,2025-06-24 00:57:46
84,RO-CI-0157,GadgetHub India,Low stock alert - need restock for Cisco Router Model 861,150,Rejected,2024-09-06 02:20:55
85,WE-LO-0566,Elite Tech Supplies,Low stock alert - need restock for Logitech Webcam Model 613,107,Approved,2025-10-24 13:32:55
86,TA-XI-0622,PrintWorks Pvt Ltd,Customer pre-orders for Xiaomi Tablet Model 958,132,Pending,2025-09-03 02:19:12
87,CH-AN-0162,SmartLife Traders,Seasonal demand increase for Anker Charger Model 645,172,Rejected,2024-10-31 13:34:07
88,HE-SO-0186,ConnectPro Supplies,Customer pre-orders for Sony Headphones Model 614,29,Approved,2024-02-10 21:39:11
89,MO-LO-0006,GameZone Distributors,Seasonal demand increase for Logitech Mouse Model 258,39,Approved,2024-11-16 08:27:49
90,SM-NO-0662,ElectroMart Solutions,Bulk order request for Nokia Smartphone Model 254,89,Approved,2025-07-09 04:34:00
91,CH-ON-0780,TechNova Pvt Ltd,Bulk order request for OnePlus Charger Model 165,119,Approved,2024-05-18 22:14:34
92,SM-AP-0324,MobileMart Pvt Ltd,Urgent: Apple Smartphone Model 536 running out,161,Approved,2024-03-19 06:33:15
93,KE-HP-0178,Peripheral Pros,Bulk order request for HP Keyboard Model 893,60,Approved,2025-02-24 20:08:01
94,KE-DE-0133,SmartGear Traders,Urgent: Dell Keyboard Model 769 running out,162,Approved,2025-10-24 20:31:02
95,MO-DE-0559,SoundPro Solutions,Urgent: Dell Monitor Model 902 running out,55,Pending,2025-04-14 02:34:23
96,KE-ST-0437,TechNova Pvt Ltd,Urgent: SteelSeries Keyboard Model 822 running out,156,Rejected,2026-01-29 01:53:21
97,TA-SA-0550,PowerTech Distributors,Urgent: Samsung Tablet Model 708 running out,134,Rejected,2026-01-05 21:31:34
98,GA-SO-0490,SmartLife Traders,Urgent: Sony Gaming Console Model 897 running out,112,Pending,2024-11-16 06:05:34
99,KE-RA-0339,PrintWorks Pvt Ltd,Customer pre-orders for Razer Keyboard Model 271,16,Approved,2024-07-07 01:32:09
100,PO-AM-0690,MobileMart Pvt Ltd,Urgent: Ambrane Power Bank Model 799 running out,80,Approved,2026-01-17 14:54:06
101,TV-ON-0081,Peripheral Pros,Bulk order request for OnePlus TV Model 261,111,Pending,2024-08-09 17:40:00
102,PO-SA-0506,AudioMax Distributors,Customer pre-orders for Samsung Power Bank Model 563,129,Approved,2025-09-15 13:05:06
103,ME-SA-0279,TechWorld Pvt Ltd,Customer pre-orders for Samsung Memory Card Model 942,19,Approved,2025-12-03 03:37:13
104,MO-DE-0681,ElectroMart Solutions,Urgent: Dell Monitor Model 782 running out,94,Pending,2024-12-16 15:57:30
105,WE-MI-0767,Peripheral Pros,Urgent: Microsoft Webcam Model 918 running out,133,Pending,2024-07-25 19:50:08
106,WE-HP-0146,AudioMax Distributors,Customer pre-orders for HP Webcam Model 120,156,Approved,2024-12-05 09:18:33
107,MO-CO-0079,SmartGear Traders,Urgent: Corsair Mouse Model 824 running out,40,Approved,2024-12-01 20:00:39
108,CA-SO-0731,SoundPro Solutions,Customer pre-orders for Sony Camera Model 971,142,Approved,2025-10-03 00:47:09
109,TV-PA-0752,GadgetHub India,Bulk order request for Panasonic TV Model 795,70,Rejected,2025-04-17 17:44:35
110,GA-SO-0512,Elite Tech Supplies,Bulk order request for Sony Gaming Console Model 199,154,Approved,2024-03-02 20:06:20
111,WE-MI-0438,DigiHub Electronics,Customer pre-orders for Microsoft Webcam Model 368,151,Approved,2025-08-09 18:59:08
112,MO-CO-0208,GadgetHub India,Seasonal demand increase for Corsair Mouse Model 315,100,Pending,2024-07-05 12:19:52
113,TV-TC-0706,Visionary Electronics,Seasonal demand increase for TCL TV Model 294,129,Rejected,2024-12-10 06:31:28
114,KE-KE-0235,AudioMax Distributors,Bulk order request for Keychron Keyboard Model 197,183,Rejected,2025-10-23 16:13:40
115,ME-KI-0582,ConnectPro Supplies,Bulk order request for Kingston Memory Card Model 152,138,Approved,2025-09-05 13:18:22
116,CA-BO-0451,GameZone Distributors,Low stock alert - need restock for Boat Cable Model 548,138,Pending,2025-05-05 02:36:21
117,MO-SA-0075,TechNova Pvt Ltd,Bulk order request for Samsung Monitor Model 283,104,Approved,2025-05-05 23:45:46
118,ME-KI-0595,PowerTech Distributors,Customer pre-orders for Kingston Memory Card Model 494,36,Pending,2025-05-22 02:29:32
119,CA-SO-0455,SoundPro Solutions,Bulk order request for Sony Camera Model 104,12,Approved,2024-12-09 06:27:20
120,MO-ST-0099,TechWorld Pvt Ltd,Bulk order request for SteelSeries Mouse Model 818,183,Approved,2025-07-25 23:43:08
121,LA-RA-0541,TechWorld Pvt Ltd,Customer pre-orders for Razer Laptop Model 908,181,Approved,2026-01-01 19:48:33
122,GA-MI-0794,Elite Tech Supplies,Low stock alert - need restock for Microsoft Gaming Console Model 271,56,Approved,2024-09-29 00:12:14
123,ME-SO-0074,PowerTech Distributors,Customer pre-orders for Sony Memory Card Model 921,113,Pending,2025-05-24 09:07:34
124,MO-RA-0030,SmartLife Traders,Seasonal demand increase for Razer Mouse Model 825,179,Pending,2025-06-18 01:52:20
125,SM-OP-0147,TechWorld Pvt Ltd,Customer pre-orders for Oppo Smartphone Model 299,89,Approved,2024-01-02 11:48:06
126,PR-EP-0431,TechNova Pvt Ltd,Bulk order request for Epson Printer Model 645,108,Rejected,2025-12-24 17:28:36
127,PR-CA-0786,Elite Tech Supplies,Bulk order request for Canon Printer Model 414,184,Pending,2025-07-01 18:10:43
128,MO-VI-0693,ReadMore Supplies,Low stock alert - need restock for ViewSonic Monitor Model 567,123,Pending,2025-03-20 19:50:53
129,KE-ST-0159,TechNova Pvt Ltd,Customer pre-orders for SteelSeries Keyboard Model 746,150,Approved,2024-01-23 20:14:02
130,ME-KI-0390,AudioMax Distributors,Bulk order request for Kingston Memory Card Model 346,82,Approved,2026-02-08 19:00:11
131,SM-BO-0222,GameZone Distributors,Urgent: Boat Smartwatch Model 269 running out,110,Pending,2025-09-08 00:33:56
132,WE-RA-0765,SoundPro Solutions,Bulk order request for Razer Webcam Model 805,114,Pending,2025-10-05 21:55:16
133,CA-NI-0322,Peripheral Pros,Seasonal demand increase for Nikon Camera Model 700,65,Approved,2024-01-02 07:14:49
134,SM-MO-0630,ElectroMart Solutions,Seasonal demand increase for Motorola Smartphone Model 852,75,Pending,2025-04-14 16:14:13
135,RO-AS-0503,ElectroMart Solutions,Urgent: Asus Router Model 358 running out,59,Pending,2025-05-09 14:08:52
136,CA-OL-0026,Visionary Electronics,Customer pre-orders for Olympus Camera Model 201,139,Approved,2026-01-10 07:17:59
137,SM-RE-0583,Visionary Electronics,Low stock alert - need restock for Realme Smartphone Model 140,191,Approved,2025-10-13 08:27:59
138,RO-TP-0671,AudioMax Distributors,Urgent: TP-Link Router Model 134 running out,132,Approved,2024-11-07 16:11:11
139,CA-BO-0498,VisionTech Supplies,Customer pre-orders for Boat Cable Model 832,103,Approved,2024-12-31 10:12:40
140,CA-OL-0370,DigiHub Electronics,Low stock alert - need restock for Olympus Camera Model 900,186,Approved,2025-08-11 08:53:52
141,RO-AS-0224,PowerTech Distributors,Bulk order request for Asus Router Model 343,34,Pending,2024-06-13 01:03:33
142,HE-BE-0772,Peripheral Pros,Low stock alert - need restock for Beats Headphones Model 966,176,Pending,2025-03-02 10:30:24
143,TA-SA-0332,Elite Tech Supplies,Seasonal demand increase for Samsung Tablet Model 873,98,Approved,2025-12-24 23:41:54
144,SM-GO-0361,PrintWorks Pvt Ltd,Seasonal demand increase for Google Smartphone Model 820,152,Rejected,2025-07-15 22:57:19
145,CA-PA-0307,PrintWorks Pvt Ltd,Seasonal demand increase for Panasonic Camera Model 585,42,Pending,2025-12-06 04:51:17
146,SM-NO-0689,TechWorld Pvt Ltd,Bulk order request for Nokia Smartphone Model 385,86,Pending,2025-07-15 20:32:40
147,KE-ST-0777,ConnectPro Supplies,Bulk order request for SteelSeries Keyboard Model 127,112,Approved,2025-03-15 20:40:05
148,LA-MI-0378,SmartGear Traders,Low stock alert - need restock for Microsoft Laptop Model 809,160,Pending,2024-01-18 20:39:19
149,MO-RA-0030,SmartLife Traders,Customer pre-orders for Razer Mouse Model 825,141,Approved,2025-07-03 00:33:04
150,WE-HP-0205,DigiHub Electronics,Bulk order request for HP Webcam Model 760,55,Rejected,2024-09-19 03:42:21
151,CA-NI-0569,Peripheral Pros,Low stock alert - need restock for Nikon Camera Model 905,193,Pending,2025-07-20 22:12:36
152,CH-SA-0114,PrintWorks Pvt Ltd,Low stock alert - need restock for Samsung Charger Model 540,107,Approved,2024-11-10 05:53:09
153,LA-RA-0095,SoundPro Solutions,Bulk order request for Razer Laptop Model 189,109,Approved,2024-01-05 20:20:07
154,PO-SY-0536,ReadMore Supplies,Urgent: Syska Power Bank Model 464 running out,182,Pending,2024-08-19 16:51:54
155,EA-JA-0258,TechNova Pvt Ltd,Seasonal demand increase for Jabra Earbuds Model 597,28,Approved,2025-05-13 05:12:48
156,PR-HP-0484,PowerTech Distributors,Seasonal demand increase for HP Printer Model 743,108,Approved,2025-11-08 20:35:29
157,CA-AN-0639,SmartLife Traders,Customer pre-orders for Anker Cable Model 119,28,Approved,2024-01-25 09:43:26
158,SP-BO-0129,VisionTech Supplies,Bulk order request for Bose Speaker Model 394,97,Pending,2024-01-15 03:19:57
159,CH-SA-0114,PrintWorks Pvt Ltd,Bulk order request for Samsung Charger Model 540,170,Pending,2025-08-26 02:26:34
160,HE-AU-0696,TechWorld Pvt Ltd,Bulk order request for Audio-Technica Headphones Model 309,107,Pending,2025-06-05 04:30:31
161,CA-BO-0166,DigiHub Electronics,Low stock alert - need restock for Boat Cable Model 267,33,Pending,2024-06-08 12:03:18
162,SM-AM-0399,TechWorld Pvt Ltd,Seasonal demand increase for Amazfit Smartwatch Model 889,135,Rejected,2024-06-03 03:18:55
163,SM-AP-0760,Peripheral Pros,Customer pre-orders for Apple Smartwatch Model 712,14,Pending,2026-01-12 11:34:22
164,ME-TR-0688,ConnectPro Supplies,Low stock alert - need restock for Transcend Memory Card Model 705,119,Approved,2025-03-06 16:57:19
165,EA-AN-0508,CameraKing Distributors,Bulk order request for Anker Earbuds Model 619,109,Approved,2025-11-24 00:15:39
166,HE-SE-0209,Peripheral Pros,Customer pre-orders for Sennheiser Headphones Model 277,71,Rejected,2025-07-15 00:43:06
167,MO-RA-0071,Peripheral Pros,Urgent: Razer Mouse Model 614 running out,147,Approved,2025-08-13 22:31:10
168,TV-XI-0695,MobileMart Pvt Ltd,Customer pre-orders for Xiaomi TV Model 564,58,Approved,2025-10-12 11:39:52
169,WE-HP-0146,AudioMax Distributors,Customer pre-orders for HP Webcam Model 120,43,Pending,2024-08-22 09:26:09
170,CH-RE-0327,ElectroMart Solutions,Customer pre-orders for Realme Charger Model 376,134,Pending,2024-11-26 10:27:38
171,SM-GA-0223,SmartLife Traders,Customer pre-orders for Garmin Smartwatch Model 671,37,Rejected,2024-01-15 22:53:42
172,SM-NO-0689,TechWorld Pvt Ltd,Customer pre-orders for Nokia Smartphone Model 385,117,Approved,2026-01-29 19:54:04
173,CA-GO-0513,TechWorld Pvt Ltd,Urgent: GoPro Camera Model 735 running out,186,Rejected,2025-07-28 11:33:44
174,MO-HP-0161,SoundPro Solutions,Customer pre-orders for HP Mouse Model 379,155,Approved,2025-12-15 12:37:08
175,RO-NE-0692,TechNova Pvt Ltd,Bulk order request for Netgear Router Model 689,140,Pending,2024-04-11 03:49:50
176,HE-BO-0774,ElectroMart Solutions,Low stock alert - need restock for Bose Headphones Model 850,61,Approved,2025-04-11 11:19:40
177,ME-SO-0074,PowerTech Distributors,Urgent: Sony Memory Card Model 921 running out,136,Approved,2024-03-28 19:11:09
178,SM-AP-0175,MobileMart Pvt Ltd,Low stock alert - need restock for Apple Smartwatch Model 548,147,Approved,2024-01-13 09:16:04
179,CA-AN-0402,PowerTech Distributors,Seasonal demand increase for Anker Cable Model 574,159,Pending,2025-06-19 17:07:32
180,SP-BO-0495,DigiHub Electronics,Customer pre-orders for Bose Speaker Model 237,63,Approved,2025-07-29 16:34:53
181,MO-DE-0063,Visionary Electronics,Low stock alert - need restock for Dell Mouse Model 631,83,Rejected,2025-07-24 18:24:28
182,ME-KI-0480,SmartGear Traders,Seasonal demand increase for Kingston Memory Card Model 380,132,Pending,2024-06-01 00:28:15
183,CA-ON-0285,SoundPro Solutions,Customer pre-orders for OnePlus Cable Model 673,45,Approved,2025-10-13 13:05:42
184,EA-NO-0198,MobileMart Pvt Ltd,Low stock alert - need restock for Noise Earbuds Model 499,195,Approved,2024-12-20 21:14:30
185,SM-AP-0560,Elite Tech Supplies,Customer pre-orders for Apple Smartphone Model 243,99,Pending,2025-08-03 20:32:40
186,KE-DE-0439,DigiHub Electronics,Bulk order request for Dell Keyboard Model 571,198,Pending,2025-10-11 06:05:33
187,EA-JA-0258,TechNova Pvt Ltd,Seasonal demand increase for Jabra Earbuds Model 597,120,Rejected,2025-01-13 00:52:41
188,HE-AU-0696,TechWorld Pvt Ltd,Seasonal demand increase for Audio-Technica Headphones Model 309,43,Pending,2026-01-23 05:19:06
189,RO-LI-0453,GameZone Distributors,Customer pre-orders for Linksys Router Model 946,80,Rejected,2024-06-22 08:41:45
190,CA-OL-0463,CameraKing Distributors,Low stock alert - need restock for Olympus Camera Model 987,23,Rejected,2024-08-14 04:53:32
191,HE-BE-0546,PowerTech Distributors,Low stock alert - need restock for Beats Headphones Model 934,40,Approved,2024-10-05 20:00:53
192,LA-DE-0211,TechWorld Pvt Ltd,Bulk order request for Dell Laptop Model 437,60,Approved,2024-02-08 17:54:08
193,SP-SO-0554,AudioMax Distributors,Customer pre-orders for Sony Speaker Model 352,75,Pending,2024-08-21 14:19:53
194,RO-CI-0263,SoundPro Solutions,Seasonal demand increase for Cisco Router Model 414,174,Pending,2025-03-19 15:11:26
195,PO-SA-0109,GadgetHub India,Urgent: Samsung Power Bank Model 954 running out,116,Pending,2024-08-05 08:40:10
196,CA-OL-0026,Visionary Electronics,Urgent: Olympus Camera Model 201 running out,168,Pending,2025-09-21 02:12:43
197,TA-RE-0619,MobileMart Pvt Ltd,Customer pre-orders for Realme Tablet Model 258,116,Approved,2025-11-24 16:38:34
198,SM-ON-0797,TechWorld Pvt Ltd,Seasonal demand increase for OnePlus Smartwatch Model 481,12,Pending,2024-10-01 07:01:39
199,MO-LO-0542,TechWorld Pvt Ltd,Bulk order request for Logitech Mouse Model 388,20,Pending,2024-01-12 06:26:31
200,TV-XI-0032,AudioMax Distributors,Bulk order request for Xiaomi TV Model 745,94,Approved,2025-02-02 05:15:33
201,SP-JB-0568,GadgetHub India,Bulk order request for JBL Speaker Model 649,158,Pending,2025-10-25 15:51:28
202,EA-AP-0531,SmartLife Traders,Low stock alert - need restock for Apple Earbuds Model 560,163,Pending,2025-10-13 11:13:44
203,TV-TC-0702,TechWorld Pvt Ltd,Seasonal demand increase for TCL TV Model 195,81,Approved,2025-05-03 22:18:36
204,TV-SO-0334,GadgetHub India,Low stock alert - need restock for Sony TV Model 943,78,Approved,2025-02-06 09:25:26
205,TV-SA-0654,Visionary Electronics,Urgent: Samsung TV Model 610 running out,174,Approved,2024-08-29 17:03:54
206,CA-AN-0599,PrintWorks Pvt Ltd,Bulk order request for Anker Cable Model 491,147,Pending,2025-03-22 12:17:50
207,EA-JA-0258,TechNova Pvt Ltd,Bulk order request for Jabra Earbuds Model 597,156,Approved,2025-03-10 09:56:12
208,TA-XI-0184,SmartLife Traders,Low stock alert - need restock for Xiaomi Tablet Model 162,135,Approved,2024-10-07 16:24:56
209,HE-SK-0445,AudioMax Distributors,Customer pre-orders for Skullcandy Headphones Model 419,133,Pending,2024-10-17 16:03:14
210,ME-KI-0595,PowerTech Distributors,Customer pre-orders for Kingston Memory Card Model 494,143,Approved,2025-01-15 11:30:45
211,MO-ST-0788,ElectroMart Solutions,Customer pre-orders for SteelSeries Mouse Model 458,88,Pending,2024-04-07 01:38:25
212,SM-SA-0631,Elite Tech Supplies,Customer pre-orders for Samsung Smartwatch Model 638,196,Pending,2025-09-06 15:24:32
213,MO-CO-0500,ConnectPro Supplies,Customer pre-orders for Corsair Mouse Model 268,49,Approved,2024-08-04 07:24:39
214,PO-SY-0287,Peripheral Pros,Seasonal demand increase for Syska Power Bank Model 161,95,Approved,2025-10-30 18:15:45
215,SM-FI-0462,Visionary Electronics,Bulk order request for Fitbit Smartwatch Model 243,102,Rejected,2025-11-03 03:38:24
216,SM-AP-0094,TechNova Pvt Ltd,Bulk order request for Apple Smartwatch Model 487,60,Pending,2024-01-11 11:00:43
217,GA-NI-0401,MobileMart Pvt Ltd,Bulk order request for Nintendo Gaming Console Model 707,63,Approved,2025-09-01 09:27:51
218,TA-MI-0762,SoundPro Solutions,Bulk order request for Microsoft Tablet Model 284,104,Approved,2025-01-25 11:16:50
219,ME-SA-0058,ElectroMart Solutions,Bulk order request for SanDisk Memory Card Model 361,138,Rejected,2024-11-10 14:23:36
220,MO-RA-0071,Peripheral Pros,Seasonal demand increase for Razer Mouse Model 614,53,Approved,2024-01-27 09:57:40
221,MO-SA-0075,TechNova Pvt Ltd,Low stock alert - need restock for Samsung Monitor Model 283,135,Pending,2025-03-13 09:09:16
222,PO-AM-0623,Visionary Electronics,Seasonal demand increase for Ambrane Power Bank Model 664,82,Approved,2024-03-20 07:15:13
