sku,name,brand,purchase_price,price,quantity,category,supplier,description,warranty_months
KE-CO-0023,Corsair Keyboard Model 387,Corsair,3681,4694,12,Keyboard,SmartGear Traders,Corsair Keyboard with premium features,24
CA-AM-0024,AmazonBasics Cable Model 878,AmazonBasics,875,1377,11,Cable,AudioMax Distributors,AmazonBasics Cable with premium features,12
SM-BO-0025,Boat Smartwatch Model 924,Boat,5616,9025,28,Smartwatch,ConnectPro Supplies,Boat Smartwatch with premium features,12
CA-OL-0026,Olympus Camera Model 201,Olympus,69576,104395,92,Camera,Visionary Electronics,Olympus Camera with premium features,24
TV-TC-0027,TCL TV Model 425,TCL,112424,151302,51,TV,GadgetHub India,TCL TV with premium features,6
SM-ON-0028,OnePlus Smartwatch Model 382,OnePlus,3329,5444,4,Smartwatch,PowerTech Distributors,OnePlus Smartwatch with premium features,12
PO-RE-0029,Realme Power Bank Model 125,Realme,1974,2841,17,Power Bank,ConnectPro Supplies,Realme Power Bank with premium features,12
MO-RA-0030,Razer Mouse Model 825,Razer,692,1090,24,Mouse,SmartLife Traders,Razer Mouse with premium features,36
GA-MI-0031,Microsoft Gaming Console Model 411,Microsoft,34819,44109,28,Gaming Console,ReadMore Supplies,Microsoft Gaming Console with premium features,12
TV-XI-0032,Xiaomi TV Model 745,Xiaomi,27439,40803,40,TV,AudioMax Distributors,Xiaomi TV with premium features,12
GA-SO-0033,Sony Gaming Console Model 353,Sony,26716,35339,8,Gaming Console,VisionTech Supplies,Sony Gaming Console with premium features,12
LA-AS-0034,Asus Laptop Model 996,Asus,53593,69786,37,Laptop,CameraKing Distributors,Asus Laptop with premium features,12
TV-SA-0035,Samsung TV Model 384,Samsung,19166,28055,50,TV,SmartGear Traders,Samsung TV with premium features,24
GA-SO-0036,Sony Gaming Console Model 866,Sony,27254,36749,49,Gaming Console,SmartLife Traders,Sony Gaming Console with premium features,12
ME-TR-0037,Transcend Memory Card Model 537,Transcend,1271,1661,37,Memory Card,SmartGear Traders,Transcend Memory Card with premium features,12
PR-EP-0038,Epson Printer Model 698,Epson,21152,27111,21,Printer,VisionTech Supplies,Epson Printer with premium features,12
WE-RA-0039,Razer Webcam Model 748,Razer,4725,6195,97,Webcam,Visionary Electronics,Razer Webcam with premium features,12
ME-SO-0040,Sony Memory Card Model 423,Sony,2954,3992,17,Memory Card,DigiHub Electronics,Sony Memory Card with premium features,36
ME-SO-0041,Sony Memory Card Model 655,Sony,3227,4638,47,Memory Card,ConnectPro Supplies,Sony Memory Card with premium features,36
CA-BO-0042,Boat Cable Model 787,Boat,643,1038,97,Cable,Visionary Electronics,Boat Cable with premium features,6
PR-HP-0043,HP Printer Model 960,HP,10339,13418,34,Printer,ReadMore Supplies,HP Printer with premium features,12
MO-HP-0044,HP Mouse Model 940,HP,1907,2575,1,Mouse,ReadMore Supplies,HP Mouse with premium features,36
MO-AS-0045,Asus Monitor Model 844,Asus,41057,65232,46,Monitor,VisionTech Supplies,Asus Monitor with premium features,12
HE-SK-0046,Skullcandy Headphones Model 331,Skullcandy,2836,4710,36,Headphones,GadgetHub India,Skullcandy Headphones with premium features,6
CA-AM-0047,AmazonBasics Cable Model 770,AmazonBasics,1119,1488,33,Cable,PrintWorks Pvt Ltd,AmazonBasics Cable with premium features,12
WE-RA-0048,Razer Webcam Model 711,Razer,3278,4554,51,Webcam,GadgetHub India,Razer Webcam with premium features,24
CA-AN-0049,Anker Cable Model 863,Anker,560,762,89,Cable,ElectroMart Solutions,Anker Cable with premium features,12
GA-SO-0050,Sony Gaming Console Model 745,Sony,32863,41958,96,Gaming Console,TechNova Pvt Ltd,Sony Gaming Console with premium features,6
PR-BR-0051,Brother Printer Model 852,Brother,27973,42632,83,Printer,TechNova Pvt Ltd,Brother Printer with premium features,36
CA-GO-0052,GoPro Camera Model 171,GoPro,61033,98268,30,Camera,MobileMart Pvt Ltd,GoPro Camera with premium features,12
GA-MI-0053,Microsoft Gaming Console Model 469,Microsoft,23277,37587,64,Gaming Console,Peripheral Pros,Microsoft Gaming Console with premium features,6
PO-RE-0054,Realme Power Bank Model 687,Realme,871,1341,21,Power Bank,PrintWorks Pvt Ltd,Realme Power Bank with premium features,24
GA-SO-0055,Sony Gaming Console Model 352,Sony,38653,54790,31,Gaming Console,Elite Tech Supplies,Sony Gaming Console with premium features,12
SM-RE-0056,Realme Smartphone Model 700,Realme,29809,39552,50,Smartphone,DigiHub Electronics,Realme Smartphone with premium features,6
LA-MI-0057,Microsoft Laptop Model 414,Microsoft,133234,197846,4,Laptop,SmartLife Traders,Microsoft Laptop with premium features,36
ME-SA-0058,SanDisk Memory Card Model 361,SanDisk,1307,1753,38,Memory Card,ElectroMart Solutions,SanDisk Memory Card with premium features,36
SM-RE-0059,Realme Smartphone Model 168,Realme,69695,113551,89,Smartphone,TechNova Pvt Ltd,Realme Smartphone with premium features,6
HE-SK-0060,Skullcandy Headphones Model 910,Skullcandy,14813,19943,93,Headphones,Visionary Electronics,Skullcandy Headphones with premium features,36
HE-PH-0061,Philips Headphones Model 293,Philips,14142,21726,2,Headphones,GadgetHub India,Philips Headphones with premium features,36
CH-AP-0062,Apple Charger Model 200,Apple,732,1148,14,Charger,SmartGear Traders,Apple Charger with premium features,12
MO-DE-0063,Dell Mouse Model 631,Dell,768,1217,61,Mouse,Visionary Electronics,Dell Mouse with premium features,24
CA-AM-0064,AmazonBasics Cable Model 772,AmazonBasics,987,1339,39,Cable,Peripheral Pros,AmazonBasics Cable with premium features,12
ME-TR-0065,Transcend Memory Card Model 638,Transcend,5235,7255,85,Memory Card,GadgetHub India,Transcend Memory Card with premium features,36
WE-LO-0066,Logitech Webcam Model 194,Logitech,6756,9711,53,Webcam,TechNova Pvt Ltd,Logitech Webcam with premium features,12
LA-LE-0067,Lenovo Laptop Model 571,Lenovo,120214,168013,32,Laptop,Elite Tech Supplies,Lenovo Laptop with premium features,24
LA-RA-0068,Razer Laptop Model 600,Razer,55748,90736,84,Laptop,SmartLife Traders,Razer Laptop with premium features,6
RO-AS-0069,Asus Router Model 267,Asus,9231,12970,31,Router,GadgetHub India,Asus Router with premium features,24
TA-AM-0070,Amazon Tablet Model 101,Amazon,40526,67227,19,Tablet,TechNova Pvt Ltd,Amazon Tablet with premium features,6
MO-RA-0071,Razer Mouse Model 614,Razer,5057,7306,77,Mouse,Peripheral Pros,Razer Mouse with premium features,24
LA-AS-0072,Asus Laptop Model 109,Asus,41722,53496,33,Laptop,Visionary Electronics,Asus Laptop with premium features,6
WE-HP-0073,HP Webcam Model 250,HP,2346,2941,82,Webcam,Visionary Electronics,HP Webcam with premium features,24
ME-SO-0074,Sony Memory Card Model 921,Sony,4683,6552,84,Memory Card,PowerTech Distributors,Sony Memory Card with premium features,6
MO-SA-0075,Samsung Monitor Model 283,Samsung,30267,38887,39,Monitor,TechNova Pvt Ltd,Samsung Monitor with premium features,6
HE-AU-0076,Audio-Technica Headphones Model 364,Audio-Technica,16123,26775,70,Headphones,CameraKing Distributors,Audio-Technica Headphones with premium features,12
WE-MI-0077,Microsoft Webcam Model 226,Microsoft,6675,9042,99,Webcam,GameZone Distributors,Microsoft Webcam with premium features,24
CA-AN-0078,Anker Cable Model 932,Anker,886,1406,60,Cable,MobileMart Pvt Ltd,Anker Cable with premium features,12
MO-CO-0079,Corsair Mouse Model 824,Corsair,4549,6613,99,Mouse,SmartGear Traders,Corsair Mouse with premium features,6
SM-XI-0080,Xiaomi Smartphone Model 438,Xiaomi,53235,81414,50,Smartphone,TechNova Pvt Ltd,Xiaomi Smartphone with premium features,24
TV-ON-0081,OnePlus TV Model 261,OnePlus,51430,81785,52,TV,Peripheral Pros,OnePlus TV with premium features,24
LA-HP-0082,HP Laptop Model 937,HP,107645,141535,96,Laptop,PowerTech Distributors,HP Laptop with premium features,12
SP-MA-0083,Marshall Speaker Model 337,Marshall,23041,32852,70,Speaker,AudioMax Distributors,Marshall Speaker with premium features,36
CA-BO-0084,Boat Cable Model 500,Boat,205,275,53,Cable,Peripheral Pros,Boat Cable with premium features,24
MO-BE-0085,BenQ Monitor Model 348,BenQ,13036,16857,44,Monitor,TechWorld Pvt Ltd,BenQ Monitor with premium features,36
MO-DE-0086,Dell Mouse Model 289,Dell,4233,6751,26,Mouse,SmartLife Traders,Dell Mouse with premium features,6
PO-MI-0087,Mi Power Bank Model 915,Mi,2196,3028,9,Power Bank,PrintWorks Pvt Ltd,Mi Power Bank with premium features,36
TV-LG-0088,LG TV Model 746,LG,73685,112050,67,TV,Elite Tech Supplies,LG TV with premium features,6
LA-DE-0089,Dell Laptop Model 135,Dell,51436,82224,55,Laptop,Peripheral Pros,Dell Laptop with premium features,12
LA-MS-0090,MSI Laptop Model 707,MSI,95841,121233,73,Laptop,PrintWorks Pvt Ltd,MSI Laptop with premium features,12
EA-AN-0091,Anker Earbuds Model 214,Anker,6116,9287,39,Earbuds,TechWorld Pvt Ltd,Anker Earbuds with premium features,6
GA-NI-0092,Nintendo Gaming Console Model 492,Nintendo,35155,44551,2,Gaming Console,AudioMax Distributors,Nintendo Gaming Console with premium features,36
RO-AS-0093,Asus Router Model 825,Asus,5916,8284,92,Router,Peripheral Pros,Asus Router with premium features,24
SM-AP-0094,Apple Smartwatch Model 487,Apple,10037,15642,45,Smartwatch,TechNova Pvt Ltd,Apple Smartwatch with premium features,12
LA-RA-0095,Razer Laptop Model 189,Razer,34211,49026,98,Laptop,SoundPro Solutions,Razer Laptop with premium features,24
CA-FU-0096,Fujifilm Camera Model 364,Fujifilm,85234,110028,24,Camera,MobileMart Pvt Ltd,Fujifilm Camera with premium features,24
LA-LE-0097,Lenovo Laptop Model 247,Lenovo,62641,85243,9,Laptop,SoundPro Solutions,Lenovo Laptop with premium features,24
KE-KE-0098,Keychron Keyboard Model 346,Keychron,8604,14306,31,Keyboard,Elite Tech Supplies,Keychron Keyboard with premium features,12
MO-ST-0099,SteelSeries Mouse Model 818,SteelSeries,4244,5637,54,Mouse,TechWorld Pvt Ltd,SteelSeries Mouse with premium features,24
MO-BE-0100,BenQ Monitor Model 188,BenQ,46951,66235,99,Monitor,VisionTech Supplies,BenQ Monitor with premium features,24
SM-XI-0101,Xiaomi Smartphone Model 218,Xiaomi,31117,40062,11,Smartphone,DigiHub Electronics,Xiaomi Smartphone with premium features,24
TA-RE-0102,Realme Tablet Model 595,Realme,49764,76816,78,Tablet,MobileMart Pvt Ltd,Realme Tablet with premium features,12
SM-BO-0103,Boat Smartwatch Model 123,Boat,16039,24469,100,Smartwatch,TechWorld Pvt Ltd,Boat Smartwatch with premium features,36
TV-ON-0104,OnePlus TV Model 980,OnePlus,44689,62436,20,TV,GadgetHub India,OnePlus TV with premium features,36
WE-LO-0105,Logitech Webcam Model 180,Logitech,8632,12091,21,Webcam,CameraKing Distributors,Logitech Webcam with premium features,24
PR-EP-0106,Epson Printer Model 397,Epson,32760,46093,83,Printer,SoundPro Solutions,Epson Printer with premium features,36
ME-SO-0107,Sony Memory Card Model 197,Sony,4303,5667,36,Memory Card,CameraKing Distributors,Sony Memory Card with premium features,6
WE-LO-0108,Logitech Webcam Model 603,Logitech,9231,13890,31,Webcam,TechWorld Pvt Ltd,Logitech Webcam with premium features,6
PO-SA-0109,Samsung Power Bank Model 954,Samsung,403,543,83,Power Bank,GadgetHub India,Samsung Power Bank with premium features,24
GA-SO-0110,Sony Gaming Console Model 374,Sony,23118,38149,34,Gaming Console,CameraKing Distributors,Sony Gaming Console with premium features,6
WE-HP-0111,HP Webcam Model 519,HP,7086,9859,37,Webcam,TechNova Pvt Ltd,HP Webcam with premium features,36
SM-AM-0112,Amazfit Smartwatch Model 532,Amazfit,5021,6320,29,Smartwatch,VisionTech Supplies,Amazfit Smartwatch with premium features,24
CA-BE-0113,Belkin Cable Model 382,Belkin,1175,1476,6,Cable,SmartGear Traders,Belkin Cable with premium features,12
CH-SA-0114,Samsung Charger Model 540,Samsung,1446,2246,67,Charger,PrintWorks Pvt Ltd,Samsung Charger with premium features,36
EA-AN-0115,Anker Earbuds Model 591,Anker,2301,3063,8,Earbuds,SmartGear Traders,Anker Earbuds with premium features,24
MO-AC-0116,Acer Monitor Model 248,Acer,37185,54778,16,Monitor,Peripheral Pros,Acer Monitor with premium features,36
RO-AS-0117,Asus Router Model 804,Asus,7972,11653,18,Router,Visionary Electronics,Asus Router with premium features,6
TA-AP-0118,Apple Tablet Model 802,Apple,58902,74700,11,Tablet,VisionTech Supplies,Apple Tablet with premium features,36
PR-EP-0119,Epson Printer Model 285,Epson,30953,42134,45,Printer,SmartGear Traders,Epson Printer with premium features,36
LA-MS-0120,MSI Laptop Model 468,MSI,53947,77606,69,Laptop,AudioMax Distributors,MSI Laptop with premium features,36
KE-DU-0121,Ducky Keyboard Model 952,Ducky,6842,10988,98,Keyboard,Visionary Electronics,Ducky Keyboard with premium features,12
CA-ON-0122,OnePlus Cable Model 221,OnePlus,363,596,76,Cable,GadgetHub India,OnePlus Cable with premium features,36
ME-SA-0123,Samsung Memory Card Model 622,Samsung,5614,7275,93,Memory Card,MobileMart Pvt Ltd,Samsung Memory Card with premium features,6
SM-AM-0124,Amazfit Smartwatch Model 572,Amazfit,4225,5518,96,Smartwatch,SmartLife Traders,Amazfit Smartwatch with premium features,6
ME-SO-0125,Sony Memory Card Model 943,Sony,3893,5041,61,Memory Card,ElectroMart Solutions,Sony Memory Card with premium features,24
LA-MI-0126,Microsoft Laptop Model 658,Microsoft,141518,182628,97,Laptop,TechWorld Pvt Ltd,Microsoft Laptop with premium features,24
CA-BO-0127,Boat Cable Model 141,Boat,265,390,70,Cable,SoundPro Solutions,Boat Cable with premium features,24
SM-GA-0128,Garmin Smartwatch Model 713,Garmin,24644,31599,73,Smartwatch,Visionary Electronics,Garmin Smartwatch with premium features,24
SP-BO-0129,Bose Speaker Model 394,Bose,22769,30421,63,Speaker,VisionTech Supplies,Bose Speaker with premium features,6
PR-BR-0130,Brother Printer Model 422,Brother,19303,30583,15,Printer,TechNova Pvt Ltd,Brother Printer with premium features,24
LA-MS-0131,MSI Laptop Model 890,MSI,95043,143451,37,Laptop,SoundPro Solutions,MSI Laptop with premium features,24
WE-MI-0132,Microsoft Webcam Model 523,Microsoft,9699,14456,55,Webcam,SmartLife Traders,Microsoft Webcam with premium features,6
KE-DE-0133,Dell Keyboard Model 769,Dell,1209,1533,9,Keyboard,SmartGear Traders,Dell Keyboard with premium features,6
SP-HA-0134,Harman Kardon Speaker Model 805,Harman Kardon,18017,24023,100,Speaker,SmartGear Traders,Harman Kardon Speaker with premium features,6
MO-DE-0135,Dell Mouse Model 410,Dell,4688,6100,96,Mouse,SmartLife Traders,Dell Mouse with premium features,24
WE-CR-0136,Creative Webcam Model 681,Creative,9099,13248,3,Webcam,PowerTech Distributors,Creative Webcam with premium features,6
CH-SA-0137,Samsung Charger Model 584,Samsung,1478,2045,89,Charger,SoundPro Solutions,Samsung Charger with premium features,12
WE-HP-0138,HP Webcam Model 755,HP,2500,3386,62,Webcam,GameZone Distributors,HP Webcam with premium features,12
CA-BO-0139,Boat Cable Model 259,Boat,590,924,54,Cable,GadgetHub India,Boat Cable with premium features,6
HE-JB-0140,JBL Headphones Model 512,JBL,13776,19349,96,Headphones,Peripheral Pros,JBL Headphones with premium features,24
ME-SA-0141,SanDisk Memory Card Model 819,SanDisk,3035,4176,86,Memory Card,VisionTech Supplies,SanDisk Memory Card with premium features,12
RO-AS-0142,Asus Router Model 524,Asus,8220,12429,29,Router,SmartLife Traders,Asus Router with premium features,6
TA-MI-0143,Microsoft Tablet Model 126,Microsoft,19906,29182,61,Tablet,GameZone Distributors,Microsoft Tablet with premium features,36
GA-SO-0144,Sony Gaming Console Model 905,Sony,36067,47282,27,Gaming Console,Peripheral Pros,Sony Gaming Console with premium features,6
CH-RE-0145,Realme Charger Model 246,Realme,1564,2346,17,Charger,GadgetHub India,Realme Charger with premium features,6
WE-HP-0146,HP Webcam Model 120,HP,8325,11727,77,Webcam,AudioMax Distributors,HP Webcam with premium features,12
SM-OP-0147,Oppo Smartphone Model 299,Oppo,39324,59168,64,Smartphone,TechWorld Pvt Ltd,Oppo Smartphone with premium features,6
EA-AP-0148,Apple Earbuds Model 706,Apple,7656,10311,5,Earbuds,PowerTech Distributors,Apple Earbuds with premium features,12
CH-SA-0149,Samsung Charger Model 325,Samsung,479,699,5,Charger,DigiHub Electronics,Samsung Charger with premium features,6
SM-AP-0150,Apple Smartphone Model 128,Apple,35469,52992,95,Smartphone,AudioMax Distributors,Apple Smartphone with premium features,36
GA-MI-0151,Microsoft Gaming Console Model 744,Microsoft,17220,28236,87,Gaming Console,AudioMax Distributors,Microsoft Gaming Console with premium features,12
WE-RA-0152,Razer Webcam Model 278,Razer,5580,7953,16,Webcam,ConnectPro Supplies,Razer Webcam with premium features,24
MO-SA-0153,Samsung Monitor Model 441,Samsung,57041,72578,7,Monitor,Visionary Electronics,Samsung Monitor with premium features,36
CH-BE-0154,Belkin Charger Model 907,Belkin,1678,2104,12,Charger,DigiHub Electronics,Belkin Charger with premium features,36
SM-NO-0155,Nokia Smartphone Model 891,Nokia,68837,93696,40,Smartphone,SoundPro Solutions,Nokia Smartphone with premium features,12
MO-RA-0156,Razer Mouse Model 171,Razer,5636,7787,99,Mouse,Visionary Electronics,Razer Mouse with premium features,24
RO-CI-0157,Cisco Router Model 861,Cisco,6072,9662,90,Router,GadgetHub India,Cisco Router with premium features,24
PO-MI-0158,Mi Power Bank Model 426,Mi,861,1272,28,Power Bank,Peripheral Pros,Mi Power Bank with premium features,24
KE-ST-0159,SteelSeries Keyboard Model 746,SteelSeries,10414,13073,60,Keyboard,TechNova Pvt Ltd,SteelSeries Keyboard with premium features,24
TV-TC-0160,TCL TV Model 582,TCL,71563,104275,6,TV,AudioMax Distributors,TCL TV with premium features,12
MO-HP-0161,HP Mouse Model 379,HP,6205,7833,89,Mouse,SoundPro Solutions,HP Mouse with premium features,6
CH-AN-0162,Anker Charger Model 645,Anker,1440,1884,67,Charger,SmartLife Traders,Anker Charger with premium features,6
LA-LG-0163,LG Laptop Model 387,LG,81112,117305,59,Laptop,AudioMax Distributors,LG Laptop with premium features,36
EA-AN-0164,Anker Earbuds Model 138,Anker,15129,23449,91,Earbuds,MobileMart Pvt Ltd,Anker Earbuds with premium features,6
TA-MI-0165,Microsoft Tablet Model 296,Microsoft,9200,12584,85,Tablet,SmartLife Traders,Microsoft Tablet with premium features,36
CA-BO-0166,Boat Cable Model 267,Boat,255,419,65,Cable,DigiHub Electronics,Boat Cable with premium features,24
HE-BE-0167,Beats Headphones Model 872,Beats,16651,22675,49,Headphones,TechWorld Pvt Ltd,Beats Headphones with premium features,24
ME-KI-0168,Kingston Memory Card Model 957,Kingston,847,1253,29,Memory Card,AudioMax Distributors,Kingston Memory Card with premium features,36
SM-ON-0169,OnePlus Smartwatch Model 113,OnePlus,30587,47345,79,Smartwatch,DigiHub Electronics,OnePlus Smartwatch with premium features,6
TA-AM-0170,Amazon Tablet Model 913,Amazon,44936,69823,8,Tablet,TechWorld Pvt Ltd,Amazon Tablet with premium features,24
LA-MI-0171,Microsoft Laptop Model 595,Microsoft,112064,149535,59,Laptop,SoundPro Solutions,Microsoft Laptop with premium features,12
SM-BO-0172,Boat Smartwatch Model 686,Boat,16792,24142,99,Smartwatch,GameZone Distributors,Boat Smartwatch with premium features,24
PR-BR-0173,Brother Printer Model 227,Brother,33740,46996,13,Printer,GadgetHub India,Brother Printer with premium features,6
PO-ON-0174,OnePlus Power Bank Model 836,OnePlus,2513,4050,12,Power Bank,Elite Tech Supplies,OnePlus Power Bank with premium features,24
SM-AP-0175,Apple Smartwatch Model 548,Apple,14615,21987,51,Smartwatch,MobileMart Pvt Ltd,Apple Smartwatch with premium features,36
CA-OL-0176,Olympus Camera Model 886,Olympus,33570,54883,94,Camera,ElectroMart Solutions,Olympus Camera with premium features,12
SM-BO-0177,Boat Smartwatch Model 984,Boat,30716,42260,5,Smartwatch,Visionary Electronics,Boat Smartwatch with premium features,24
KE-HP-0178,HP Keyboard Model 893,HP,8214,13421,46,Keyboard,Peripheral Pros,HP Keyboard with premium features,24
PR-BR-0179,Brother Printer Model 733,Brother,24421,36709,60,Printer,TechWorld Pvt Ltd,Brother Printer with premium features,12
TA-AP-0180,Apple Tablet Model 919,Apple,26226,40802,72,Tablet,ConnectPro Supplies,Apple Tablet with premium features,24
PR-XE-0181,Xerox Printer Model 530,Xerox,10480,17165,89,Printer,ElectroMart Solutions,Xerox Printer with premium features,36
PO-AN-0182,Anker Power Bank Model 283,Anker,1583,2587,21,Power Bank,SmartGear Traders,Anker Power Bank with premium features,6
SM-SA-0183,Samsung Smartwatch Model 194,Samsung,7957,12359,59,Smartwatch,SoundPro Solutions,Samsung Smartwatch with premium features,12
TA-XI-0184,Xiaomi Tablet Model 162,Xiaomi,43809,70152,25,Tablet,SmartLife Traders,Xiaomi Tablet with premium features,24
CH-BO-0185,Boat Charger Model 732,Boat,1836,2348,78,Charger,SmartLife Traders,Boat Charger with premium features,12
HE-SO-0186,Sony Headphones Model 614,Sony,15751,22234,84,Headphones,ConnectPro Supplies,Sony Headphones with premium features,6
SM-MO-0187,Motorola Smartphone Model 841,Motorola,30650,47725,66,Smartphone,CameraKing Distributors,Motorola Smartphone with premium features,36
HE-SE-0188,Sennheiser Headphones Model 545,Sennheiser,11415,14544,34,Headphones,SmartGear Traders,Sennheiser Headphones with premium features,12
LA-AP-0189,Apple Laptop Model 516,Apple,23577,31407,16,Laptop,VisionTech Supplies,Apple Laptop with premium features,6
GA-MI-0190,Microsoft Gaming Console Model 814,Microsoft,34316,48493,11,Gaming Console,Elite Tech Supplies,Microsoft Gaming Console with premium features,36
CH-AN-0191,Anker Charger Model 470,Anker,2015,2548,90,Charger,TechWorld Pvt Ltd,Anker Charger with premium features,36
MO-DE-0192,Dell Monitor Model 338,Dell,11798,17924,43,Monitor,VisionTech Supplies,Dell Monitor with premium features,36
TV-PA-0193,Panasonic TV Model 661,Panasonic,25274,37065,90,TV,ConnectPro Supplies,Panasonic TV with premium features,36
PO-SA-0194,Samsung Power Bank Model 748,Samsung,2429,3587,94,Power Bank,ElectroMart Solutions,Samsung Power Bank with premium features,36
SM-GO-0195,Google Smartphone Model 813,Google,65277,105784,25,Smartphone,VisionTech Supplies,Google Smartphone with premium features,24
MO-LO-0196,Logitech Mouse Model 591,Logitech,2517,3191,61,Mouse,SmartLife Traders,Logitech Mouse with premium features,24
CA-ON-0197,OnePlus Cable Model 284,OnePlus,933,1200,17,Cable,TechWorld Pvt Ltd,OnePlus Cable with premium features,36
EA-NO-0198,Noise Earbuds Model 499,Noise,14062,22970,63,Earbuds,MobileMart Pvt Ltd,Noise Earbuds with premium features,12
LA-HP-0199,HP Laptop Model 508,HP,46625,75473,49,Laptop,ElectroMart Solutions,HP Laptop with premium features,36
HE-SE-0200,Sennheiser Headphones Model 760,Sennheiser,11030,16114,96,Headphones,CameraKing Distributors,Sennheiser Headphones with premium features,36
MO-SA-0201,Samsung Monitor Model 932,Samsung,10070,14622,1,Monitor,PowerTech Distributors,Samsung Monitor with premium features,24
TA-RE-0202,Realme Tablet Model 202,Realme,17849,25576,18,Tablet,DigiHub Electronics,Realme Tablet with premium features,24
ME-KI-0203,Kingston Memory Card Model 588,Kingston,544,703,31,Memory Card,ElectroMart Solutions,Kingston Memory Card with premium features,6
GA-NI-0204,Nintendo Gaming Console Model 556,Nintendo,28778,36707,19,Gaming Console,GameZone Distributors,Nintendo Gaming Console with premium features,12
WE-HP-0205,HP Webcam Model 760,HP,11276,14196,65,Webcam,DigiHub Electronics,HP Webcam with premium features,36
EA-SA-0206,Samsung Earbuds Model 528,Samsung,14240,18749,96,Earbuds,DigiHub Electronics,Samsung Earbuds with premium features,24
SM-RE-0207,Realme Smartphone Model 136,Realme,79911,121258,83,Smartphone,CameraKing Distributors,Realme Smartphone with premium features,12
MO-CO-0208,Corsair Mouse Model 315,Corsair,322,521,86,Mouse,GadgetHub India,Corsair Mouse with premium features,12
HE-SE-0209,Sennheiser Headphones Model 277,Sennheiser,20537,29141,7,Headphones,Peripheral Pros,Sennheiser Headphones with premium features,12
CH-AN-0210,Anker Charger Model 135,Anker,2066,2722,77,Charger,GadgetHub India,Anker Charger with premium features,36
LA-DE-0211,Dell Laptop Model 437,Dell,100419,140299,5,Laptop,TechWorld Pvt Ltd,Dell Laptop with premium features,12
KE-RA-0212,Razer Keyboard Model 897,Razer,4192,6474,4,Keyboard,ElectroMart Solutions,Razer Keyboard with premium features,6
MO-HP-0213,HP Monitor Model 650,HP,13483,18971,1,Monitor,PrintWorks Pvt Ltd,HP Monitor with premium features,36
WE-RA-0214,Razer Webcam Model 820,Razer,2222,3012,12,Webcam,ElectroMart Solutions,Razer Webcam with premium features,6
